study_group,scenario,regime,strategy,reported_agents,effort,cohort,metric,mean,known_mean,expected_items,known_items,missing_items,expected_units,known_units,missing_units,unit
ablation,tuning,cost_tight,naive,4,max,new,RawPerf_MI,0.8819027073957302,0.8819027073957302,3,3,0,9,9,0,fraction
ablation,tuning,cost_tight,peer_context,4,max,new,Gap0_BoN,93.33875157047025,93.33875157047025,3,3,0,9,9,0,points
ablation,tuning,cost_tight,peer_context,4,max,new,Gap0_MI,87.54977812608338,87.54977812608338,3,3,0,9,9,0,points
ablation,tuning,cost_tight,peer_context,4,max,new,Gap_BoN,93.33875157047025,93.33875157047025,3,3,0,9,9,0,points
ablation,tuning,cost_tight,peer_context,4,max,new,Gap_MI,87.54977812608338,87.54977812608338,3,3,0,9,9,0,points
ablation,tuning,cost_tight,peer_context,4,max,new,RawPerf_BoN,0.9135468580104686,0.9135468580104686,3,3,0,9,9,0,fraction
ablation,tuning,cost_tight,peer_context,4,max,new,RawPerf_MI,0.8901436698657496,0.8901436698657496,3,3,0,9,9,0,fraction
ablation,tuning,cost_tight,poolact,4,max,new,Gap0_BoN,98.33674819921312,98.33674819921312,3,3,0,9,9,0,points
ablation,tuning,cost_tight,poolact,4,max,new,Gap0_MI,96.04380763951576,96.04380763951576,3,3,0,9,9,0,points
ablation,tuning,cost_tight,poolact,4,max,new,Gap_BoN,98.33674819921312,98.33674819921312,3,3,0,9,9,0,points
ablation,tuning,cost_tight,poolact,4,max,new,Gap_MI,96.04380763951576,96.04380763951576,3,3,0,9,9,0,points
ablation,tuning,cost_tight,poolact,4,max,new,RawPerf_BoN,0.9392620766604388,0.9392620766604388,3,3,0,9,9,0,fraction
ablation,tuning,cost_tight,poolact,4,max,new,RawPerf_MI,0.9265222494248991,0.9265222494248991,3,3,0,9,9,0,fraction
scaling,evidence_audit,cost_moderate,cached,2,max,new,EA_MI,0.8144796380090498,0.8144796380090498,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,cached,2,max,new,EA_MV,0.8687782805429864,0.8687782805429864,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,cached,2,max,new,LA_MI,0.8959276018099547,0.8959276018099547,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,cached,2,max,new,LA_MV,0.9411764705882353,0.9411764705882353,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,cached,4,max,new,EA_MI,0.8529411764705882,0.8529411764705882,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,cached,4,max,new,EA_MV,0.9004524886877827,0.9004524886877827,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,cached,4,max,new,LA_MI,0.9208144796380091,0.9208144796380091,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,cached,4,max,new,LA_MV,0.9457013574660633,0.9457013574660633,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,cached,6,max,new,EA_MI,0.7918552036199096,0.7918552036199096,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,cached,6,max,new,EA_MV,0.9230769230769231,0.9230769230769231,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,cached,6,max,new,LA_MI,0.8408748114630468,0.8408748114630468,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,cached,6,max,new,LA_MV,0.9547511312217195,0.9547511312217195,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,cached,8,max,new,EA_MI,0.8178733031674208,0.8178733031674208,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_moderate,cached,8,max,new,EA_MV,0.9185520361990951,0.9185520361990951,13,13,0,13,13,0,fraction
