shard_id,path,bytes,sha256
s038,archives/original917-v1/payload/part-000019.tar.gz,16177552,6e48453babf30c7e228ff5b606936d3701c5d3170d1fc4ab95ed6b33e9be3725
s039,archives/original917-v1/payload/part-000020.tar.gz,16402607,dea552127daec4eba76ab24e08651d86d5b0d4212fb0ca42ad1bf2583bef787e
s040,archives/original917-v1/payload/part-000021.tar.gz,16039978,e1ab7d532694170d7530fbed2f8cc33d1919fc1b3eb967edcaa1ac493f6d9037
s041,archives/original917-v1/payload/part-000022.tar.gz,16355895,d40e60acde016f41c2715f386259862ff1ffebee27d0aaaba8997e6f4979e7d3
s042,archives/original917-v1/payload/part-000023.tar.gz,15752181,9117710a2637cb8dbe9ad744418f1f56393d61a4409e8105df67d0f0c2a9e251
s043,archives/original917-v1/payload/part-000024.tar.gz,16487796,3e3e88847965f99fada9235367f362a21792703a414e4526de098351954ffa28
s044,archives/original917-v1/payload/part-000025.tar.gz,16378072,259e0d30ffb775a531b3a8e5e72d4eb9dd2280e9c81b042e748af7ac7bae872d
s045,archives/original917-v1/payload/part-000026.tar.gz,15802131,e0f9cf3ecb0e49f96c9cc3323d911942574d2483b48baa01d59b6a2a7dc9f3ac
s046,archives/original917-v1/payload/part-000027.tar.gz,16081449,9f0c8a8d49d0dcfcc95c680fee29b6fdf339f67d45d02c8a10d8dc59c779b302
s047,archives/original917-v1/payload/part-000028.tar.gz,15694462,0d56bf5d6fc4543a5d6e24259aaeaa19d5e710745b75a1f50796e6b47edc8260
s048,archives/original917-v1/payload/part-000029.tar.gz,15571858,282c4592b9b744beaef30be40787467da72d103a416ba1212924e1d78fe3e8d9
s049,archives/original917-v1/payload/part-000030.tar.gz,15986837,7a6675a16204a0f038f359fdaa826a5f9c4f7423f6f814f824d8e94e02595894
s050,archives/original917-v1/payload/part-000031.tar.gz,16150094,5ecf3b343bfa4d44954f35f195e1689bcebe809f9634cd9b493a96ecbb781b2c
s051,archives/original917-v1/payload/part-000032.tar.gz,15843444,8b3eb496d5e7cd3d4632d81c524d784cd1046105fc0765c3ce816a227b28dd1f
s052,archives/original917-v1/payload/part-000033.tar.gz,16404259,5e7b6d3b5b7e5472af1c6d18c03223cb798b11108c1960352314997c618aec41
s053,archives/original917-v1/payload/part-000034.tar.gz,15805001,99dab17f2bcab9aff5fd07ca6bea3ef2166a9b0059f78cf8d10d0562f9913b5f
s054,archives/original917-v1/payload/part-000035.tar.gz,17167388,b7f72be8f2c2f32f30b8551aad7441f52295c64f2b0217cfc0930d5defee5029
s055,archives/original917-v1/payload/part-000036.tar.gz,16449583,640b483c81817565230cedd19b77f303c3aebd8df9de87fb772903bfaba07488
s056,archives/original917-v1/payload/part-000037.tar.gz,16405607,7c36dbe761c03947ab0c1f5f642f976cb1891cd75d9e7e59c267193100116942
s057,archives/original917-v1/payload/part-000038.tar.gz,16334684,c09bb11854f7f92d152504665585c67ebcccbb7c4f11ae68f1584d6709736f48
s058,archives/original917-v1/payload/part-000039.tar.gz,16455438,353af1b2b6268af533c7b0c9f20712c8cb73aa694f0c6c150e352323948d9a43
s059,archives/original917-v1/payload/part-000040.tar.gz,16424476,cabb868fc8a2d280469a8b9d39407d87e096b2a1f5e38c07fb6e7472b739cd75
s060,archives/original917-v1/payload/part-000041.tar.gz,16383134,1b15bb92da46c639756bbcdbf6f9116e6a25b4bd858855c441bf825a8eff1368
s061,archives/original917-v1/payload/part-000042.tar.gz,16477352,e6f0fe3dd2ad2c9a8972506143267bad083d7bb154ebf69ffc6bfe889cbd716c
