model,family,regime,n,score_complete_n,delivered_total,repeated_delivered_total,natural_stop_budget_fraction_mean,natural_stop_budget_fraction_median,natural_n,budget_n,cap_n,other_n,delivered_evaluations_mean,delivered_evaluations_median,unique_delivered_configs_mean,unique_delivered_configs_median,repeated_delivered_evaluations_mean,repeated_delivered_evaluations_median,withheld_evaluations_mean,withheld_evaluations_median,delivered_budget_fraction_mean,delivered_budget_fraction_median,first_best_fraction_mean,first_best_fraction_median,observations_after_first_best_mean,observations_after_first_best_median,strict_record_improvements_mean,strict_record_improvements_median,best_performance_gain_after_first3_mean,best_performance_gain_after_first3_median,best_performance_gain_after_first5_mean,best_performance_gain_after_first5_median,attempted_evaluations_mean,attempted_evaluations_median,visible_results_mean,visible_results_median,visible_error_results_mean,visible_error_results_median,agent_steps_mean,agent_steps_median,all_attempted_cost_seconds_mean,all_attempted_cost_seconds_median,all_visible_cost_seconds_mean,all_visible_cost_seconds_median,final_below_observed_best_n,final_below_observed_best_denom,final_above_observed_best_n,final_above_observed_best_denom,observed_best_reached_by_first3_n,observed_best_reached_by_first3_denom,observed_best_reached_by_first5_n,observed_best_reached_by_first5_denom,observed_best_reached_in_first_half_n,observed_best_reached_in_first_half_denom,model_final_present_n,model_final_present_denom,nonfallback_terminal_scored_n,nonfallback_terminal_scored_denom,submitted_json_object_scored_n,submitted_json_object_scored_denom,final_json_object_n,final_json_object_denom,fallback_scored_n,fallback_scored_denom,score_source_counts,score_complete_fraction,nonfallback_terminal_scored_fraction,submitted_json_object_scored_fraction,attempted_evaluations_total,visible_results_total,visible_error_results_total,withheld_evaluations_total,unique_delivered_configs_total
deepseek-v4-flash-0731,nasbench101,cost_free,9,7,128,1,,,1,0,3,5,14.222222222222221,13,14.11111111111111,13,0.1111111111111111,0,0,0,,,0.7620332214082214,0.8015873015873016,3.25,2.5,3.888888888888889,3,0.021163021524747208,0.01652643084526062,0.016622424125671373,0.012453248103459658,15.777777777777779,14,15.777777777777779,14,1.5555555555555556,1,17.333333333333332,16,122673.94994099934,99759.34362792969,122673.94994099934,99759.34362792969,0,6,0,6,2,8,3,8,3,8,7,9,7,9,6,9,6,9,0,9,"{""matching_tool_call"": 6, ""missing"": 2, ""offline_final_answer"": 1}",0.7777777777777778,0.7777777777777778,0.6666666666666666,142,142,14,0,127
deepseek-v4-flash-0731,nasbench101,cost_moderate,9,9,55,0,0.0,0.0,2,3,0,4,6.111111111111111,5,6.111111111111111,5,0,0,0.3333333333333333,0,0.5620679275602684,0.7653784198738889,0.854438178780284,0.873015873015873,1.25,1.0,2.7777777777777777,2,0.022832368810971573,0.005241721868515015,0.003493090470631899,0.0,7.111111111111111,6,6.777777777777778,6,0.6666666666666666,1,8.555555555555555,8,54392.30634562174,54877.3349609375,49397.1734246148,45735.12060546875,0,8,0,8,2,8,5,8,2,8,7,9,7,9,6,9,8,9,2,9,"{""best_evaluated_fallback"": 2, ""matching_tool_call"": 6, ""offline_final_answer"": 1}",1.0,0.7777777777777778,0.6666666666666666,64,61,6,3,55
deepseek-v4-flash-0731,nasbench101,cost_tight,9,9,23,0,0.9620397615466758,0.980359448385664,3,3,0,3,2.5555555555555554,3,2.5555555555555554,3,0,0,0.3333333333333333,0,0.6909287768204079,0.9127107312618,0.9285714285714286,1.0,0.14285714285714285,0,1,1,0.027815932319277814,0.0,0.01296359868276688,0.0,3.2222222222222223,3,2.888888888888889,3,0.3333333333333333,0,4.888888888888889,5,19966.466420491535,19110.529296875,16736.626251220703,14729.357452392578,0,7,0,7,5,7,6,7,2,7,8,9,8,9,8,9,9,9,1,9,"{""best_evaluated_fallback"": 1, ""matching_tool_call"": 6, ""offline_final_answer"": 2}",1.0,0.8888888888888888,0.8888888888888888,29,26,3,3,23
deepseek-v4-flash-0731,nasbench201,cost_free,9,8,176,0,,,1,0,3,5,19.555555555555557,18,19.555555555555557,18,0,0,0,0,,,0.7170981969332794,0.8275862068965517,5.222222222222222,3,3.4444444444444446,3,0.017050617250042237,0.009166666429307746,0.014091851787350495,0.0087666666666667,20.333333333333332,18,20.333333333333332,18,0.7777777777777778,0,22,20,524384.3993308222,289350.92571484204,524384.3993308222,289350.92571484204,0,8,0,8,2,9,2,9,3,9,7,9,7,9,7,9,8,9,1,9,"{""best_evaluated_fallback"": 1, ""matching_tool_call"": 7, ""missing"": 1}",0.8888888888888888,0.7777777777777778,0.7777777777777778,183,183,7,0,176
deepseek-v4-flash-0731,nasbench201,cost_moderate,9,8,102,0,0.9928528630131579,0.9928528630131579,2,7,0,0,11.333333333333334,12,11.333333333333334,12,0,0,0.7777777777777778,1,0.9558739719408555,0.9481723927739472,0.5276094276094276,0.5454545454545454,5.333333333333333,5,2.3333333333333335,2,0.020281234558859045,0.0076666666666667105,0.016141234530828052,0.007013333455403781,12.777777777777779,13,12,12,0.6666666666666666,0,14,14,273721.22780034936,193365.9001348532,255194.43167952696,175723.26773726952,0,8,0,8,2,9,3,9,5,9,8,9,8,9,8,9,8,9,0,9,"{""matching_tool_call"": 8, ""missing"": 1}",0.8888888888888888,0.8888888888888888,0.8888888888888888,115,108,6,7,102
deepseek-v4-flash-0731,nasbench201,cost_tight,9,9,29,0,0.9527191534000965,0.9527191534000965,2,6,0,1,3.2222222222222223,3,3.2222222222222223,3,0,0,0.6666666666666666,1,0.8381543832875552,0.8129267095631998,0.5833333333333334,0.6666666666666666,1.4444444444444444,1,0.6666666666666666,1,0.0,0.0,0.0,0.0,4.222222222222222,4,3.5555555555555554,3,0.3333333333333333,0,5.444444444444445,5,83001.22101556043,58942.095262680785,67726.09263107178,40588.83364880089,0,9,0,9,9,9,9,9,6,9,9,9,9,9,9,9,9,9,0,9,"{""matching_tool_call"": 9}",1.0,1.0,1.0,38,32,3,6,29
deepseek-v4-flash-0731,paramnet,cost_free,9,5,109,0,,,0,0,2,7,12.11111111111111,9,12.11111111111111,9,0,0,0,0,,,0.7864454583752829,0.8947368421052632,4,1,4.555555555555555,5,0.07481044357779816,0.015322883170737267,0.0691840523631488,0.015322883170737267,13.11111111111111,10,13.11111111111111,10,1,1,14.88888888888889,12,3011.0570962005195,1478.6454060792923,3011.0570962005195,1478.6454060792923,0,5,0,5,2,9,4,9,4,9,4,9,4,9,4,9,5,9,1,9,"{""best_evaluated_fallback"": 1, ""matching_tool_call"": 4, ""missing"": 4}",0.5555555555555556,0.4444444444444444,0.4444444444444444,118,118,9,0,109
deepseek-v4-flash-0731,paramnet,cost_moderate,9,8,78,0,0.946403748922788,0.9729505350687023,6,0,0,3,8.666666666666666,5,8.666666666666666,5,0,0,0,0,0.7441456354363238,0.9257328976793322,0.9129554655870445,1.0,1.3333333333333333,0,3.6666666666666665,2,0.0328749937572983,0.0009686381070155292,0.030993863731858456,0.0,9.333333333333334,6,9.333333333333334,6,0.6666666666666666,0,11.222222222222221,8,828.066794039585,277.2296618700027,828.066794039585,277.2296618700027,0,8,0,8,4,9,6,9,2,9,5,9,5,9,5,9,8,9,3,9,"{""best_evaluated_fallback"": 3, ""matching_tool_call"": 5, ""missing"": 1}",0.8888888888888888,0.5555555555555556,0.5555555555555556,84,84,6,0,78
deepseek-v4-flash-0731,paramnet,cost_tight,9,7,38,0,0.9641457542003892,0.9789691319911066,4,3,0,2,4.222222222222222,4,4.222222222222222,4,0,0,0.3333333333333333,0,0.7223960903509966,0.8389001344990864,0.9621212121212122,1.0,0.2222222222222222,0,2.2222222222222223,2,0.04391698586459093,0.0,0.010138436665222739,0.0,4.777777777777778,4,4.444444444444445,4,0.2222222222222222,0,6.222222222222222,6,294.7856607940462,286.73973791599275,259.9278120809131,286.73973791599275,0,7,0,7,5,9,6,9,4,9,7,9,7,9,7,9,7,9,0,9,"{""matching_tool_call"": 7, ""missing"": 2}",0.7777777777777778,0.7777777777777778,0.7777777777777778,43,40,2,3,38
gemini-3.8-flash-medium,nasbench101,cost_free,9,9,269,1,,,0,0,9,0,29.88888888888889,30,29.77777777777778,30,0.1111111111111111,0,0,0,,,0.7623243933588761,0.7666666666666667,7.111111111111111,7,6,6,0.015291132308818685,0.013922293980916267,0.005831555083945925,0.00534190734227491,30,30,30,30,0.1111111111111111,0,30,30,216807.25047471788,184869.03576660156,216807.25047471788,184869.03576660156,0,9,0,9,0,9,0,9,0,9,9,9,9,9,9,9,9,9,0,9,"{""matching_tool_call"": 9}",1.0,1.0,1.0,270,270,1,0,268
