model,regime,complete_three_strategy,naive_bon_minus_mi,cached_bon_minus_mi,poolact_bon_minus_mi
kimi-k3,cost_moderate,True,0.9480886234546801,0.8781829031803454,0.3147179102185049
kimi-k3,cost_tight,True,2.510129491457718,4.525621189907426,2.6743693110626054
glm-5.3,cost_moderate,True,1.1343567177354714,1.054608444136278,0.41491116530514205
glm-5.3,cost_tight,True,7.202174378106605,8.296001109757398,4.034845675795893
qwen3.8-2.4t-a95b-fp8,cost_moderate,True,1.777920461273979,1.2801962681111547,0.2784559107167439
qwen3.8-2.4t-a95b-fp8,cost_tight,True,7.903197382037604,7.3928069322360415,2.0204353202688594
deepseek-v4-flash-0731,cost_moderate,True,1.9775847645273075,2.5381620450437055,0.2595006868533716
deepseek-v4-flash-0731,cost_tight,True,11.673253317890982,12.227567827641451,2.990450083758617
gpt-5.6-sol,cost_moderate,True,0.6377274500612913,0.8020277055661182,1.2247069278265599
gpt-5.6-sol,cost_tight,True,1.5555770172175158,2.251010389110448,0.8118495081887716
gemini-3.8-flash-medium,cost_moderate,False,,,
gemini-3.8-flash-medium,cost_tight,False,2.9519970219923124,,
