model,scenario,regime,metric,reported_unit,complete_three_strategy,naive,naive_raw,naive_complete_items,naive_expected_items,naive_cohort,naive_source_input,naive_source_row,cached,cached_raw,cached_complete_items,cached_expected_items,cached_cohort,cached_source_input,cached_source_row,poolact,poolact_raw,poolact_complete_items,poolact_expected_items,poolact_cohort,poolact_source_input,poolact_source_row,delta_vs_naive,relative_percent_vs_naive,delta_vs_cached,relative_percent_vs_cached,delta_vs_stronger_baseline
deepseek-v4-flash-0731,tuning,cost_moderate,gap0_mi,Gap points,True,96.72433990160577,96.72433990160577,3,3,deepseek_rerun_20260912,rerun_aggregate,38,96.26514512867054,96.26514512867054,3,3,deepseek_rerun_20260912,rerun_aggregate,32,98.73849270264257,98.73849270264257,3,3,deepseek_rerun_20260912,rerun_aggregate,44,2.0141528010368006,2.0823639665938476,2.4733475739720348,2.5693074795307247,2.0141528010368006
deepseek-v4-flash-0731,tuning,cost_moderate,gap_bon,Gap points,True,98.70192466613308,98.70192466613308,3,3,deepseek_rerun_20260912,rerun_aggregate,39,98.80330717371424,98.80330717371424,3,3,deepseek_rerun_20260912,rerun_aggregate,33,98.99799338949595,98.99799338949595,3,3,deepseek_rerun_20260912,rerun_aggregate,45,0.2960687233628647,0.299962462094161,0.19468621578170087,0.19704422994608617,0.19468621578170087
deepseek-v4-flash-0731,tuning,cost_moderate,gap_mi,Gap points,True,96.72433990160577,96.72433990160577,3,3,deepseek_rerun_20260912,rerun_aggregate,40,96.26514512867054,96.26514512867054,3,3,deepseek_rerun_20260912,rerun_aggregate,34,98.73849270264257,98.73849270264257,3,3,deepseek_rerun_20260912,rerun_aggregate,46,2.0141528010368006,2.0823639665938476,2.4733475739720348,2.5693074795307247,2.0141528010368006
deepseek-v4-flash-0731,tuning,cost_moderate,raw_perf_bon,0-100,True,94.20814006416887,0.9420814006416887,3,3,deepseek_rerun_20260912,rerun_aggregate,41,94.22520487396807,0.9422520487396806,3,3,deepseek_rerun_20260912,rerun_aggregate,35,94.27417295950431,0.9427417295950431,3,3,deepseek_rerun_20260912,rerun_aggregate,47,0.06603289533544388,0.07009255812764348,0.04896808553624954,0.051969200387258496,0.04896808553624954
deepseek-v4-flash-0731,tuning,cost_moderate,raw_perf_mi,0-100,True,93.34852425036607,0.9334852425036607,3,3,deepseek_rerun_20260912,rerun_aggregate,42,93.11602259123767,0.9311602259123767,3,3,deepseek_rerun_20260912,rerun_aggregate,36,94.15991532581825,0.9415991532581824,3,3,deepseek_rerun_20260912,rerun_aggregate,48,0.8113910754521725,0.8692061090071146,1.043892734580576,1.1210667139027963,0.8113910754521725
deepseek-v4-flash-0731,tuning,cost_tight,gap0_bon,Gap points,True,94.87641050496711,94.87641050496711,3,3,deepseek_rerun_20260912,rerun_aggregate,55,95.21150805628984,95.21150805628984,3,3,deepseek_rerun_20260912,rerun_aggregate,49,98.2825756756157,98.2825756756157,3,3,deepseek_rerun_20260912,rerun_aggregate,61,3.406165170648592,3.590107543613552,3.0710676193258593,3.2255214543080335,3.0710676193258593
deepseek-v4-flash-0731,tuning,cost_tight,gap0_mi,Gap points,True,83.20315718707613,83.20315718707613,3,3,deepseek_rerun_20260912,rerun_aggregate,56,82.9839402286484,82.9839402286484,3,3,deepseek_rerun_20260912,rerun_aggregate,50,95.29212559185709,95.29212559185709,3,3,deepseek_rerun_20260912,rerun_aggregate,62,12.088968404780957,14.529458753109337,12.308185363208693,14.832008855322542,12.088968404780957
deepseek-v4-flash-0731,tuning,cost_tight,gap_bon,Gap points,True,94.87641050496711,94.87641050496711,3,3,deepseek_rerun_20260912,rerun_aggregate,57,95.21150805628984,95.21150805628984,3,3,deepseek_rerun_20260912,rerun_aggregate,51,98.2825756756157,98.2825756756157,3,3,deepseek_rerun_20260912,rerun_aggregate,63,3.406165170648592,3.590107543613552,3.0710676193258593,3.2255214543080335,3.0710676193258593
deepseek-v4-flash-0731,tuning,cost_tight,gap_mi,Gap points,True,83.20315718707613,83.20315718707613,3,3,deepseek_rerun_20260912,rerun_aggregate,58,82.9839402286484,82.9839402286484,3,3,deepseek_rerun_20260912,rerun_aggregate,52,95.29212559185709,95.29212559185709,3,3,deepseek_rerun_20260912,rerun_aggregate,64,12.088968404780957,14.529458753109337,12.308185363208693,14.832008855322542,12.088968404780957
deepseek-v4-flash-0731,tuning,cost_tight,raw_perf_bon,0-100,True,91.78463308899491,0.917846330889949,3,3,deepseek_rerun_20260912,rerun_aggregate,59,91.85808367199368,0.9185808367199368,3,3,deepseek_rerun_20260912,rerun_aggregate,53,93.85461189128735,0.9385461189128734,3,3,deepseek_rerun_20260912,rerun_aggregate,65,2.069978802292438,2.255256389471394,1.9965282192936584,2.1734921299064514,1.9965282192936584
