model,scenario,regime,metric,reported_unit,complete_three_strategy,naive,naive_raw,naive_complete_items,naive_expected_items,naive_cohort,naive_source_input,naive_source_row,cached,cached_raw,cached_complete_items,cached_expected_items,cached_cohort,cached_source_input,cached_source_row,poolact,poolact_raw,poolact_complete_items,poolact_expected_items,poolact_cohort,poolact_source_input,poolact_source_row,delta_vs_naive,relative_percent_vs_naive,delta_vs_cached,relative_percent_vs_cached,delta_vs_stronger_baseline
glm-5.3,restricted_search,cost_moderate,f1_mv,0-100,True,62.0278196748785,0.620278196748785,39,39,glm_original,old_absolute,1873,65.67250831956714,0.6567250831956715,39,39,glm_original,old_absolute,1862,65.74188338894221,0.6574188338894221,39,39,glm_original,old_absolute,1884,3.714063714063709,5.987738620398297,0.0693750693750661,0.10563791630660013,0.0693750693750661
glm-5.3,restricted_search,cost_tight,f1_mv,0-100,True,20.85972850678733,0.2085972850678733,39,39,glm_original,old_absolute,1906,20.85972850678733,0.2085972850678733,39,39,glm_original,old_absolute,1895,30.005027652086476,0.30005027652086474,39,39,glm_original,old_absolute,1917,9.145299145299143,43.84188961195468,9.145299145299143,43.84188961195468,9.145299145299143
glm-5.3,tuning,cost_moderate,gap0_mi,Gap points,True,97.87332960162215,97.87332960162215,3,3,glm_original,old_gap0,40,98.06133287597413,98.06133287597413,3,3,glm_original,old_gap0,38,98.96582781948116,98.96582781948116,3,3,glm_original,old_gap0,42,1.092498217859017,1.1162368975346615,0.9044949435070322,0.9223767584834119,0.9044949435070322
glm-5.3,tuning,cost_tight,gap0_mi,Gap points,True,85.92950088398068,85.92950088398068,3,3,glm_rerun_20260912,rerun_aggregate,86,86.57074750139166,86.57074750139166,3,3,glm_rerun_20260912,rerun_aggregate,80,94.33103637151207,94.33103637151207,3,3,glm_rerun_20260912,rerun_aggregate,92,8.40153548753139,9.777242275472876,7.760288870120405,8.964100569878596,7.760288870120405
gpt-5.6-sol,evidence_audit,cost_moderate,evidence_acc_mv,0-100,True,64.70588235294117,0.6470588235294118,13,13,gpt_original,old_absolute,2485,65.15837104072398,0.6515837104072398,13,13,gpt_original,old_absolute,2481,67.42081447963801,0.6742081447963801,13,13,gpt_original,old_absolute,2489,2.714932126696834,4.195804195804187,2.26244343891403,3.472222222222232,2.26244343891403
gpt-5.6-sol,evidence_audit,cost_tight,evidence_acc_mv,0-100,True,51.58371040723983,0.5158371040723982,13,13,gpt_original,old_absolute,2497,58.82352941176471,0.5882352941176471,13,13,gpt_original,old_absolute,2493,62.44343891402715,0.6244343891402715,13,13,gpt_original,old_absolute,2501,10.859728506787325,21.052631578947345,3.6199095022624417,6.153846153846154,3.6199095022624417
gpt-5.6-sol,restricted_search,cost_moderate,f1_mv,0-100,True,62.31271995977878,0.6231271995977878,39,39,gpt_original,old_absolute,2531,63.77792142498024,0.6377792142498024,39,39,gpt_original,old_absolute,2529,60.60331825037707,0.6060331825037707,39,39,gpt_original,old_absolute,2533,-1.7094017094017144,-2.7432628691302363,-3.1746031746031744,-4.977589585351017,-3.1746031746031744
gpt-5.6-sol,restricted_search,cost_tight,f1_mv,0-100,True,19.15032679738562,0.1915032679738562,39,39,gpt_original,old_absolute,2537,20.275867922926746,0.20275867922926746,39,39,gpt_original,old_absolute,2535,21.885369532428356,0.21885369532428356,39,39,gpt_original,old_absolute,2539,2.7350427350427364,14.281963770018379,1.6095016095016095,7.9380158502693865,1.6095016095016095
gpt-5.6-sol,tuning,cost_moderate,gap0_mi,Gap points,True,98.10591772776527,98.10591772776527,3,3,gpt_rerun_20260912,rerun_aggregate,104,98.21139961323344,98.21139961323344,3,3,gpt_rerun_20260912,rerun_aggregate,98,97.96701760786793,97.96701760786793,3,3,gpt_rerun_20260912,rerun_aggregate,110,-0.1389001198973432,-0.14158179558829698,-0.2443820053655088,-0.2488326266888663,-0.2443820053655088
gpt-5.6-sol,tuning,cost_tight,gap0_mi,Gap points,True,96.64101526358955,96.64101526358955,3,3,gpt_original,old_gap0,118,96.04946232773469,96.04946232773469,3,3,gpt_original,old_gap0,116,97.27071155025706,97.27071155025706,3,3,gpt_original,old_gap0,120,0.6296962866675102,0.6515828553228742,1.2212492225223741,1.2714794991306677,0.6296962866675102
