model,regime,strategy,pools,mean_agents,mean_feedback_attempts,mean_feedback_visible,mean_unique_query_attempts,mean_unique_visible_queries,mean_hypothesis_attempts,mean_visible_hypotheses,mean_first_choice_unique_hypotheses,mean_within_agent_repeated_attempts,mean_cross_agent_overlap_queries,mean_unique_verified_correct_queries,mean_unique_verified_correct_nonempty,mean_semantic_redundancy_fraction,mean_correct_visible,mean_incomplete_visible,mean_irrelevant_visible,mean_other_visible,mean_withheld,mean_invalid_payload_attempts,mean_peer_snapshot_count,mean_peer_verified_correct_queries,mean_peer_only_verified_correct_queries,mean_final_matches_peer_only_verified,mean_final_matches_peer_only_verified_nonempty,mean_final_answer_parsed,mean_agents_with_peer_snapshot,mean_agents_with_peer_only_nonempty_final_match,mean_cache_hits,mean_cache_size,mean_graph_pending_claims
deepseek-v4-flash-0731,cost_moderate,cached,13,4.0,51.23076923076923,48.53846153846154,27.76923076923077,25.53846153846154,11.76923076923077,11.076923076923077,2.8461538461538463,0.07692307692307693,23.384615384615383,9.923076923076923,5.6923076923076925,0.44285426243235687,23.692307692307693,6.6923076923076925,18.153846153846153,0.0,2.6923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,3.923076923076923,0.0,0.0,10.76923076923077,25.692307692307693,0.0
deepseek-v4-flash-0731,cost_moderate,naive,13,4.0,40.23076923076923,37.61538461538461,22.76923076923077,21.615384615384617,9.846153846153847,9.538461538461538,2.230769230769231,0.0,17.46153846153846,8.461538461538462,4.846153846153846,0.4333005174937633,17.76923076923077,5.384615384615385,14.461538461538462,0.0,2.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,3.769230769230769,0.0,0.0,0.0,0.0,0.0
deepseek-v4-flash-0731,cost_moderate,poolact,13,4.0,38.15384615384615,37.30769230769231,29.923076923076923,29.615384615384617,15.615384615384615,15.538461538461538,4.0,0.07692307692307693,8.153846153846153,15.153846153846153,8.461538461538462,0.21807129963238558,20.615384615384617,4.846153846153846,11.846153846153847,0.0,0.8461538461538461,0.0,35.84615384615385,45.07692307692308,36.92307692307692,36.92307692307692,22.0,4.0,4.0,4.0,0.23076923076923078,29.615384615384617,0.0
deepseek-v4-flash-0731,cost_tight,cached,13,4.0,13.76923076923077,11.0,8.461538461538462,6.461538461538462,5.615384615384615,4.538461538461538,2.230769230769231,0.0,5.3076923076923075,3.3076923076923075,1.9230769230769231,0.3813609467455621,6.0,1.1538461538461537,3.769230769230769,0.07692307692307693,2.769230769230769,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,3.923076923076923,0.0,0.0,1.3846153846153846,6.384615384615385,0.0
deepseek-v4-flash-0731,cost_tight,naive,13,4.0,12.461538461538462,10.0,8.461538461538462,7.153846153846154,5.076923076923077,4.461538461538462,2.6923076923076925,0.0,4.0,3.3076923076923075,2.0,0.3205128205128205,5.076923076923077,1.3076923076923077,3.6153846153846154,0.0,2.4615384615384617,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
deepseek-v4-flash-0731,cost_tight,poolact,13,4.0,12.538461538461538,9.461538461538462,11.307692307692308,8.846153846153847,7.3076923076923075,6.153846153846154,3.923076923076923,0.0,1.2307692307692308,3.8461538461538463,2.8461538461538463,0.09925331079177234,4.153846153846154,1.3846153846153846,3.923076923076923,0.0,3.076923076923077,0.0,8.461538461538462,9.076923076923077,8.692307692307692,8.692307692307692,6.6923076923076925,4.0,4.0,3.076923076923077,0.0,8.923076923076923,0.0
gemini-3.8-flash-medium,cost_moderate,cached,13,4.0,46.84615384615385,45.92307692307692,21.46153846153846,20.615384615384617,12.846153846153847,12.538461538461538,1.0,0.0,25.384615384615383,11.923076923076923,7.3076923076923075,0.5417881055610956,27.923076923076923,5.615384615384615,12.384615384615385,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,3.6923076923076925,0.0,0.0,9.538461538461538,20.615384615384617,0.0
gemini-3.8-flash-medium,cost_moderate,naive,13,4.0,38.07692307692308,37.38461538461539,17.846153846153847,17.384615384615383,10.615384615384615,10.384615384615385,1.0,0.0,20.23076923076923,9.384615384615385,6.230769230769231,0.53142870369591,21.153846153846153,4.538461538461538,11.692307692307692,0.0,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,3.3076923076923075,0.0,0.0,0.0,0.0,0.0
gemini-3.8-flash-medium,cost_moderate,poolact,13,4.0,35.46153846153846,34.84615384615385,22.692307692307693,22.53846153846154,14.846153846153847,14.846153846153847,1.0,0.0,12.76923076923077,12.76923076923077,8.76923076923077,0.35829792489711515,19.23076923076923,4.0,11.615384615384615,0.0,0.6153846153846154,0.0,34.76923076923077,36.76923076923077,26.153846153846153,24.923076923076923,19.23076923076923,3.8461538461538463,4.0,3.8461538461538463,0.0,22.53846153846154,0.0
gemini-3.8-flash-medium,cost_tight,cached,13,4.0,9.76923076923077,9.076923076923077,5.538461538461538,5.076923076923077,4.6923076923076925,4.384615384615385,1.0,0.0,4.230769230769231,1.9230769230769231,1.6923076923076923,0.4302447552447552,2.3076923076923075,1.0,5.769230769230769,0.0,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,3.769230769230769,0.0,0.0,0.3076923076923077,5.076923076923077,0.0
