budget,metric,old,new,delta
cost_free,empty_evidence_exact,0.838775184929031,0.8729632191170653,0.03418803418803429
cost_free,empty_joint_correct,0.8367808829347291,0.8709689171227633,0.03418803418803418
cost_free,empty_label_correct,0.8367808829347291,0.8709689171227633,0.03418803418803418
cost_free,evidence_acc,0.8029160382101558,0.83710407239819,0.03418803418803418
cost_free,joint_acc,0.779788838612368,0.8132227249874309,0.03343388637506284
cost_free,label_acc,0.8443941679235797,0.8778280542986425,0.03343388637506284
cost_free,nonempty_evidence_exact,0.7818968780507242,0.8160849122387583,0.03418803418803418
cost_free,nonempty_evidence_precision,0.8622148245866195,0.8964028587746536,0.03418803418803418
cost_free,nonempty_evidence_recall,0.8340351576249012,0.8682231918129354,0.03418803418803418
cost_free,nonempty_joint_correct,0.7242652646498801,0.7567235471081625,0.03245828245828242
cost_free,nonempty_label_correct,0.8261904050365589,0.8586486874948414,0.03245828245828242
cost_free,nonempty_missing_any,0.2076264191648807,0.17343838497684652,-0.03418803418803418
cost_free,verification_eff,0.772497750768867,0.7726312977774139,0.00013354700854695256
cost_free,visible_verification_eff,0.772497750768867,0.7726312977774139,0.00013354700854695256
cost_moderate,correct_label_wrong_evidence_conditional,0.19815218822571765,0.19593374249765652,-0.0022184457280611247
cost_moderate,empty_evidence_exact,0.8064144544913776,0.8258526373910989,0.019438182899721324
cost_moderate,empty_evidence_precision,0.8670269901039132,0.8608241473626089,-0.006202842741304226
cost_moderate,empty_extra_any,0.13297300989608682,0.1391758526373911,0.006202842741304282
cost_moderate,empty_joint_correct,0.8064144544913776,0.8258526373910989,0.019438182899721324
cost_moderate,empty_label_correct,0.8064144544913776,0.8258526373910989,0.019438182899721324
cost_moderate,evidence_acc,0.698340874811463,0.7156862745098039,0.017345399698340924
cost_moderate,joint_acc,0.6784816490698844,0.6953242835595776,0.016842634489693253
cost_moderate,label_acc,0.8423831070889894,0.8647561588738059,0.02237305178481641
cost_moderate,label_correct_wrong_evidence_rate,0.16390145801910508,0.16943187531422826,0.005530417295123186
cost_moderate,nonempty_correct_label_wrong_evidence_conditional,0.3038894984407805,0.3018458867817842,-0.0020436116589963027
cost_moderate,nonempty_evidence_exact,0.6242770762001532,0.6403496788112173,0.016072602611064135
cost_moderate,nonempty_evidence_precision,0.8416661721469414,0.8642523466561928,0.022586174509251378
cost_moderate,nonempty_evidence_recall,0.7617235684543376,0.7821705644782568,0.020446996023919195
cost_moderate,nonempty_extra_any,0.08230174384020537,0.08616668232052847,0.003864938480323099
cost_moderate,nonempty_joint_correct,0.5685873955104724,0.5832863717479102,0.014698976237437766
cost_moderate,nonempty_label_correct,0.8362958266804421,0.8599057637519176,0.023609937071475517
cost_moderate,nonempty_label_correct_wrong_evidence,0.2677084311699696,0.27661939200400737,0.008910960834037751
cost_moderate,nonempty_missing_any,0.3471014028706336,0.3300660877583954,-0.017035315112238214
cost_moderate,verification_eff,0.2774447812815083,0.2782950142631515,0.0008502329816432175
cost_moderate,visible_verification_eff,0.268335554242417,0.2693384123766854,0.0010028581342683696
cost_tight,correct_label_wrong_evidence_conditional,0.3058439402896417,0.30639730430454415,0.0005533640149024688
cost_tight,empty_evidence_exact,0.7134999615768847,0.7199712680481911,0.006471306471306448
cost_tight,empty_evidence_precision,0.7868617849387081,0.784786082863006,-0.0020757020757020683
cost_tight,empty_extra_any,0.213138215061292,0.21521391713699406,0.0020757020757020683
cost_tight,empty_joint_correct,0.7134999615768847,0.7199712680481911,0.006471306471306448
cost_tight,empty_label_correct,0.7134999615768847,0.7199712680481911,0.006471306471306448
cost_tight,evidence_acc,0.5565610859728507,0.5605832076420312,0.004022121669180478
cost_tight,joint_acc,0.5412267471091,0.5449974861739568,0.0037707390648568095
cost_tight,label_acc,0.7890899949723479,0.7961287078934137,0.007038712921065837
cost_tight,label_correct_wrong_evidence_rate,0.24786324786324787,0.251131221719457,0.0032679738562091387
cost_tight,nonempty_correct_label_wrong_evidence_conditional,0.49094609094609093,0.4916345999679333,0.0006885090218423651
cost_tight,nonempty_evidence_exact,0.447756232371617,0.45053401014939476,0.002777777777777768
cost_tight,nonempty_evidence_precision,0.7938293069703326,0.8010586516996774,0.007229344729344778
cost_tight,nonempty_evidence_recall,0.6621972732870169,0.6670666939897709,0.004869420702753979
cost_tight,nonempty_extra_any,0.1248046824969902,0.12594428363659133,0.0011396011396011263
cost_tight,nonempty_joint_correct,0.4091827687981534,0.41160442121980584,0.0024216524216524316
cost_tight,nonempty_label_correct,0.8267441248210479,0.8342227572996804,0.007478632478632563
cost_tight,nonempty_label_correct_wrong_evidence,0.41756135602289446,0.42261833607987453,0.005056980056980076
cost_tight,nonempty_missing_any,0.505067155067155,0.5019332519332519,-0.0031339031339031598
cost_tight,verification_eff,0.07343255628512038,0.07357246267502678,0.00013990638990639404
cost_tight,visible_verification_eff,0.06398835613579204,0.06412826252569842,0.00013990638990638016
