model,system,regime,strategy,metric,slots,display_unit,old_official_count,old_official_mean_percent,old_official_coverage,prior_diagnostic_count,prior_diagnostic_mean_percent,prior_diagnostic_coverage,existing_trace_rescored_count,existing_trace_rescored_mean_percent,existing_trace_rescored_coverage,final_official_count,final_official_mean_percent,final_official_coverage
gemini-3.8-flash-medium,poolact,cost_tight,naive,label_acc_mv,13,percentage_points,13,88.23529411764707,complete,13,88.23529411764707,complete,13,88.23529411764707,complete,13,88.23529411764707,complete
gemini-3.8-flash-medium,poolact,cost_tight,naive,evidence_acc_mv,13,percentage_points,13,68.77828054298641,complete,13,68.77828054298641,complete,13,68.77828054298641,complete,13,68.77828054298641,complete
gemini-3.8-flash-medium,poolact,cost_tight,poolact,label_acc_mv,13,percentage_points,13,87.78280542986425,complete,13,87.78280542986425,complete,13,87.78280542986425,complete,13,87.78280542986425,complete
gemini-3.8-flash-medium,poolact,cost_tight,poolact,evidence_acc_mv,13,percentage_points,13,73.75565610859728,complete,13,73.75565610859728,complete,13,73.75565610859728,complete,13,73.75565610859728,complete
glm-5.3,expgym,cost_free,single,label_acc,39,percentage_points,39,69.23076923076924,complete,39,84.3137254901961,complete,39,86.87782805429866,complete,39,86.87782805429866,complete
glm-5.3,expgym,cost_free,single,evidence_acc,39,percentage_points,39,68.47662141779789,complete,39,83.86123680241326,complete,39,86.42533936651583,complete,39,86.42533936651583,complete
glm-5.3,expgym,cost_moderate,single,label_acc,39,percentage_points,39,76.01809954751133,complete,39,78.12971342383108,complete,39,85.21870286576171,complete,39,85.21870286576171,complete
glm-5.3,expgym,cost_moderate,single,evidence_acc,39,percentage_points,39,67.87330316742083,complete,39,69.9849170437406,complete,39,75.11312217194572,complete,39,75.11312217194572,complete
glm-5.3,expgym,cost_tight,single,label_acc,39,percentage_points,39,73.60482654600304,complete,39,75.86726998491707,complete,39,75.86726998491707,complete,39,75.86726998491707,complete
glm-5.3,expgym,cost_tight,single,evidence_acc,39,percentage_points,39,50.2262443438914,complete,39,51.58371040723981,complete,39,51.58371040723981,complete,39,51.58371040723981,complete
glm-5.3,poolact,cost_moderate,cached,label_acc_mv,13,percentage_points,13,93.66515837104073,complete,13,93.66515837104073,complete,13,93.66515837104073,complete,13,93.66515837104073,complete
glm-5.3,poolact,cost_moderate,cached,evidence_acc_mv,13,percentage_points,13,84.61538461538461,complete,13,83.2579185520362,complete,13,83.2579185520362,complete,13,83.2579185520362,complete
glm-5.3,poolact,cost_moderate,naive,label_acc_mv,13,percentage_points,13,92.76018099547512,complete,13,92.76018099547512,complete,13,92.76018099547512,complete,13,92.76018099547512,complete
glm-5.3,poolact,cost_moderate,naive,evidence_acc_mv,13,percentage_points,13,80.99547511312218,complete,13,81.44796380090499,complete,13,81.44796380090499,complete,13,81.44796380090499,complete
glm-5.3,poolact,cost_moderate,poolact,label_acc_mv,13,percentage_points,13,98.19004524886878,complete,13,98.19004524886878,complete,13,98.19004524886878,complete,13,98.19004524886878,complete
glm-5.3,poolact,cost_moderate,poolact,evidence_acc_mv,13,percentage_points,13,97.73755656108598,complete,13,97.73755656108598,complete,13,98.19004524886878,complete,13,98.19004524886878,complete
glm-5.3,poolact,cost_tight,cached,label_acc_mv,13,percentage_points,13,89.14027149321268,complete,13,89.14027149321268,complete,13,89.14027149321268,complete,13,89.14027149321268,complete
glm-5.3,poolact,cost_tight,cached,evidence_acc_mv,13,percentage_points,13,65.61085972850678,complete,13,65.61085972850678,complete,13,65.61085972850678,complete,13,65.61085972850678,complete
glm-5.3,poolact,cost_tight,naive,label_acc_mv,13,percentage_points,13,90.4977375565611,complete,13,90.4977375565611,complete,13,90.4977375565611,complete,13,90.4977375565611,complete
glm-5.3,poolact,cost_tight,naive,evidence_acc_mv,13,percentage_points,13,66.06334841628959,complete,13,66.06334841628959,complete,13,66.06334841628959,complete,13,66.06334841628959,complete
glm-5.3,poolact,cost_tight,poolact,label_acc_mv,13,percentage_points,13,92.30769230769232,complete,13,92.30769230769232,complete,13,92.30769230769232,complete,13,92.30769230769232,complete
glm-5.3,poolact,cost_tight,poolact,evidence_acc_mv,13,percentage_points,13,81.90045248868779,complete,13,81.90045248868779,complete,13,82.8054298642534,complete,13,82.8054298642534,complete
gpt-5.6-sol,expgym,cost_free,single,label_acc,39,percentage_points,39,85.97285067873304,complete,39,85.97285067873304,complete,39,85.97285067873304,complete,39,85.97285067873304,complete
gpt-5.6-sol,expgym,cost_free,single,evidence_acc,39,percentage_points,39,70.43740573152337,complete,39,70.43740573152337,complete,39,70.43740573152337,complete,39,70.43740573152337,complete
gpt-5.6-sol,expgym,cost_moderate,single,label_acc,39,percentage_points,39,87.93363499245854,complete,39,87.93363499245854,complete,39,87.93363499245854,complete,39,87.93363499245854,complete
gpt-5.6-sol,expgym,cost_moderate,single,evidence_acc,39,percentage_points,39,65.91251885369536,complete,39,65.91251885369536,complete,39,65.91251885369536,complete,39,65.91251885369536,complete
gpt-5.6-sol,expgym,cost_tight,single,label_acc,39,percentage_points,39,78.73303167420816,complete,39,78.73303167420816,complete,39,78.73303167420816,complete,39,78.73303167420816,complete
gpt-5.6-sol,expgym,cost_tight,single,evidence_acc,39,percentage_points,39,54.14781297134239,complete,39,54.14781297134239,complete,39,54.14781297134239,complete,39,54.14781297134239,complete
gpt-5.6-sol,poolact,cost_moderate,cached,label_acc_mv,13,percentage_points,13,87.78280542986425,complete,13,87.78280542986425,complete,13,87.78280542986425,complete,13,87.78280542986425,complete
gpt-5.6-sol,poolact,cost_moderate,cached,evidence_acc_mv,13,percentage_points,13,65.15837104072399,complete,13,65.15837104072399,complete,13,65.15837104072399,complete,13,65.15837104072399,complete
gpt-5.6-sol,poolact,cost_moderate,naive,label_acc_mv,13,percentage_points,13,84.16289592760181,complete,13,84.16289592760181,complete,13,84.16289592760181,complete,13,84.16289592760181,complete
gpt-5.6-sol,poolact,cost_moderate,naive,evidence_acc_mv,13,percentage_points,13,64.70588235294117,complete,13,64.70588235294117,complete,13,64.70588235294117,complete,13,64.70588235294117,complete
gpt-5.6-sol,poolact,cost_moderate,poolact,label_acc_mv,13,percentage_points,13,86.87782805429865,complete,13,86.87782805429865,complete,13,86.87782805429865,complete,13,86.87782805429865,complete
gpt-5.6-sol,poolact,cost_moderate,poolact,evidence_acc_mv,13,percentage_points,13,67.42081447963801,complete,13,67.42081447963801,complete,13,67.42081447963801,complete,13,67.42081447963801,complete
gpt-5.6-sol,poolact,cost_tight,cached,label_acc_mv,13,percentage_points,13,83.710407239819,complete,13,83.710407239819,complete,13,83.710407239819,complete,13,83.710407239819,complete
gpt-5.6-sol,poolact,cost_tight,cached,evidence_acc_mv,13,percentage_points,13,58.823529411764696,complete,13,58.823529411764696,complete,13,58.823529411764696,complete,13,58.823529411764696,complete
gpt-5.6-sol,poolact,cost_tight,naive,label_acc_mv,13,percentage_points,13,79.18552036199095,complete,13,79.18552036199095,complete,13,79.18552036199095,complete,13,79.18552036199095,complete
gpt-5.6-sol,poolact,cost_tight,naive,evidence_acc_mv,13,percentage_points,13,51.58371040723981,complete,13,51.58371040723981,complete,13,51.58371040723981,complete,13,51.58371040723981,complete
gpt-5.6-sol,poolact,cost_tight,poolact,label_acc_mv,13,percentage_points,13,85.97285067873302,complete,13,85.97285067873302,complete,13,85.97285067873302,complete,13,85.97285067873302,complete
gpt-5.6-sol,poolact,cost_tight,poolact,evidence_acc_mv,13,percentage_points,13,62.44343891402715,complete,13,62.44343891402715,complete,13,62.44343891402715,complete,13,62.44343891402715,complete
kimi-k3,expgym,cost_free,single,label_acc,39,percentage_points,39,92.60935143288084,complete,39,92.60935143288084,complete,39,95.02262443438913,complete,39,95.02262443438913,complete
kimi-k3,expgym,cost_free,single,evidence_acc,39,percentage_points,39,89.44193061840122,complete,39,89.44193061840122,complete,39,92.00603318250376,complete,39,92.00603318250376,complete
kimi-k3,expgym,cost_moderate,single,label_acc,39,percentage_points,39,85.36953242835597,complete,39,87.63197586727,complete,39,89.59276018099548,complete,39,89.59276018099548,complete
kimi-k3,expgym,cost_moderate,single,evidence_acc,39,percentage_points,39,68.77828054298645,complete,39,70.88989441930622,complete,39,71.94570135746609,complete,39,71.94570135746609,complete
kimi-k3,expgym,cost_tight,single,label_acc,39,percentage_points,39,79.48717948717953,complete,39,79.48717948717953,complete,39,81.44796380090501,complete,39,81.44796380090501,complete
kimi-k3,expgym,cost_tight,single,evidence_acc,39,percentage_points,39,51.58371040723981,complete,39,51.58371040723981,complete,39,52.6395173453997,complete,39,52.6395173453997,complete
kimi-k3,poolact,cost_moderate,cached,label_acc_mv,13,percentage_points,13,93.66515837104073,complete,13,94.11764705882354,complete,13,94.57013574660635,complete,13,94.57013574660635,complete
kimi-k3,poolact,cost_moderate,cached,evidence_acc_mv,13,percentage_points,13,76.47058823529413,complete,13,76.92307692307693,complete,13,77.37556561085974,complete,13,77.37556561085974,complete
kimi-k3,poolact,cost_moderate,naive,label_acc_mv,13,percentage_points,13,92.30769230769232,complete,13,92.30769230769232,complete,13,92.30769230769232,complete,13,92.30769230769232,complete
kimi-k3,poolact,cost_moderate,naive,evidence_acc_mv,13,percentage_points,13,73.75565610859728,complete,13,71.94570135746605,complete,13,71.94570135746605,complete,13,71.94570135746605,complete
kimi-k3,poolact,cost_moderate,poolact,label_acc_mv,13,percentage_points,13,97.28506787330318,complete,13,97.28506787330318,complete,13,97.28506787330318,complete,13,97.28506787330318,complete
kimi-k3,poolact,cost_moderate,poolact,evidence_acc_mv,13,percentage_points,13,93.66515837104073,complete,13,95.47511312217195,complete,13,95.47511312217195,complete,13,95.47511312217195,complete
kimi-k3,poolact,cost_tight,cached,label_acc_mv,13,percentage_points,13,83.710407239819,complete,13,83.710407239819,complete,13,83.710407239819,complete,13,83.710407239819,complete
kimi-k3,poolact,cost_tight,cached,evidence_acc_mv,13,percentage_points,13,54.751131221719454,complete,13,54.751131221719454,complete,13,54.751131221719454,complete,13,54.751131221719454,complete
kimi-k3,poolact,cost_tight,naive,label_acc_mv,13,percentage_points,13,84.16289592760181,complete,13,84.16289592760181,complete,13,84.16289592760181,complete,13,84.16289592760181,complete
kimi-k3,poolact,cost_tight,naive,evidence_acc_mv,13,percentage_points,13,55.20361990950226,complete,13,54.751131221719454,complete,13,54.751131221719454,complete,13,54.751131221719454,complete
kimi-k3,poolact,cost_tight,poolact,label_acc_mv,13,percentage_points,13,87.33031674208146,complete,13,86.87782805429865,complete,13,86.87782805429865,complete,13,86.87782805429865,complete
kimi-k3,poolact,cost_tight,poolact,evidence_acc_mv,13,percentage_points,13,62.89592760180995,complete,13,62.89592760180995,complete,13,62.89592760180995,complete,13,62.89592760180995,complete
qwen3.8-2.4t-a95b-fp8,expgym,cost_free,single,label_acc,39,percentage_points,39,94.7209653092006,complete,39,94.7209653092006,complete,39,94.7209653092006,complete,39,94.7209653092006,complete
qwen3.8-2.4t-a95b-fp8,expgym,cost_free,single,evidence_acc,39,percentage_points,39,91.8552036199095,complete,39,91.8552036199095,complete,39,91.8552036199095,complete,39,91.8552036199095,complete
qwen3.8-2.4t-a95b-fp8,expgym,cost_moderate,single,label_acc,39,percentage_points,39,88.23529411764707,complete,39,88.23529411764707,complete,39,88.23529411764707,complete,39,88.23529411764707,complete
qwen3.8-2.4t-a95b-fp8,expgym,cost_moderate,single,evidence_acc,39,percentage_points,39,74.96229260935148,complete,39,74.96229260935148,complete,39,74.96229260935148,complete,39,74.96229260935148,complete
