model,system,scenario,slice_kind,slice,regime,strategy,metric,unit,N,expected_units,known_units,missing_units,expected_items,complete_items,repeats_min,repeats_max,full_mean,known_subset_mean,cohort_id,source_input,source_row,run_start_utc,run_end_utc,latest_selection,display_value,display_unit,status
deepseek-v4-flash-0731,poolact,tuning,all,all,cost_tight,cached,gap0_mi,Gap points,4,9,9,0,3,3,3,3,82.9839402286484,82.9839402286484,deepseek_rerun_20260912,rerun_aggregate,50,2026-09-12T05:24:02.454785839Z,2026-09-12T07:17:52.656682492Z,latest_registered_three_strategy_rerun,82.98,points,known
deepseek-v4-flash-0731,poolact,tuning,all,all,cost_tight,cached,gap_mi,Gap points,4,9,9,0,3,3,3,3,82.9839402286484,82.9839402286484,deepseek_rerun_20260912,rerun_aggregate,52,2026-09-12T05:24:02.454785839Z,2026-09-12T07:17:52.656682492Z,latest_registered_three_strategy_rerun,82.98,points,known
deepseek-v4-flash-0731,poolact,tuning,all,all,cost_tight,naive,gap0_mi,Gap points,4,9,9,0,3,3,3,3,83.20315718707613,83.20315718707613,deepseek_rerun_20260912,rerun_aggregate,56,2026-09-12T05:24:02.454785839Z,2026-09-12T07:17:52.656682492Z,latest_registered_three_strategy_rerun,83.20,points,known
deepseek-v4-flash-0731,poolact,tuning,all,all,cost_tight,naive,gap_mi,Gap points,4,9,9,0,3,3,3,3,83.20315718707613,83.20315718707613,deepseek_rerun_20260912,rerun_aggregate,58,2026-09-12T05:24:02.454785839Z,2026-09-12T07:17:52.656682492Z,latest_registered_three_strategy_rerun,83.20,points,known
deepseek-v4-flash-0731,poolact,tuning,all,all,cost_tight,poolact,gap0_mi,Gap points,4,9,9,0,3,3,3,3,95.29212559185709,95.29212559185709,deepseek_rerun_20260912,rerun_aggregate,62,2026-09-12T05:24:02.454785839Z,2026-09-12T07:17:52.656682492Z,latest_registered_three_strategy_rerun,95.29,points,known
deepseek-v4-flash-0731,poolact,tuning,all,all,cost_tight,poolact,gap_mi,Gap points,4,9,9,0,3,3,3,3,95.29212559185709,95.29212559185709,deepseek_rerun_20260912,rerun_aggregate,64,2026-09-12T05:24:02.454785839Z,2026-09-12T07:17:52.656682492Z,latest_registered_three_strategy_rerun,95.29,points,known
gemini-3.8-flash-medium,poolact,evidence_audit,all,all,cost_moderate,cached,evidence_acc_mv,fraction,4,13,13,0,13,13,1,1,0.8733031674208145,0.8733031674208145,gemini_snapshot,gemini_absolute,48,2026-09-11T09:35:12.476632+00:00,,latest_effective_composite_or_current_snapshot,87.33,0–100,known
gemini-3.8-flash-medium,poolact,evidence_audit,all,all,cost_moderate,naive,evidence_acc_mv,fraction,4,13,13,0,13,13,1,1,0.8054298642533937,0.8054298642533937,gemini_snapshot,gemini_absolute,56,2026-09-11T09:35:12.476632+00:00,,latest_effective_composite_or_current_snapshot,80.54,0–100,known
gemini-3.8-flash-medium,poolact,evidence_audit,all,all,cost_moderate,poolact,evidence_acc_mv,fraction,4,13,13,0,13,13,1,1,0.9773755656108597,0.9773755656108597,gemini_snapshot,gemini_absolute,64,2026-09-11T09:35:12.476632+00:00,,latest_effective_composite_or_current_snapshot,97.74,0–100,known
gemini-3.8-flash-medium,poolact,evidence_audit,all,all,cost_tight,cached,evidence_acc_mv,fraction,4,13,13,0,13,13,1,1,0.7149321266968326,0.7149321266968326,gemini_snapshot,gemini_absolute,72,2026-09-11T09:35:12.476632+00:00,,latest_effective_composite_or_current_snapshot,71.49,0–100,known
