scenario,regime,model,metric,naive,cached,poolact,poolact_minus_naive,poolact_minus_cached
restricted_search,cost_moderate,kimi-k3,f1_mv,64.59192223898106,64.20342185048067,66.74088438794321,2.1489621489621555,2.5374625374625452
restricted_search,cost_moderate,glm-5.3,f1_mv,62.0278196748785,65.67250831956714,65.74188338894221,3.7140637140637125,0.0693750693750701
restricted_search,cost_moderate,qwen3.8-2.4t-a95b-fp8,f1_mv,61.21381886087769,61.17311882017764,63.48488113193995,2.271062271062263,2.3117623117623083
restricted_search,cost_moderate,deepseek-v4-flash-0731,f1_mv,60.27179791885674,61.79989944695827,61.325928972987796,1.0541310541310551,-0.47397047397047487
restricted_search,cost_moderate,gpt-5.6-sol,f1_mv,62.31271995977878,63.77792142498024,60.60331825037707,-1.7094017094017104,-3.1746031746031704
restricted_search,cost_moderate,gemini-3.8-flash-medium,f1_mv,65.20242284948168,68.10840575546457,68.04328569034452,2.8408628408628402,-0.06512006512005541
restricted_search,cost_tight,kimi-k3,f1_mv,21.287078934137757,18.722976370035195,30.4323780794369,9.145299145299145,11.709401709401707
restricted_search,cost_tight,glm-5.3,f1_mv,20.85972850678733,20.85972850678733,30.005027652086476,9.145299145299145,9.145299145299145
restricted_search,cost_tight,qwen3.8-2.4t-a95b-fp8,f1_mv,18.295625942684765,23.313940960999783,20.688788335847157,2.3931623931623918,-2.6251526251526265
restricted_search,cost_tight,deepseek-v4-flash-0731,f1_mv,2.564102564102564,4.273504273504273,7.440925087983912,4.876822523881348,3.1674208144796383
restricted_search,cost_tight,gpt-5.6-sol,f1_mv,19.15032679738562,20.275867922926746,21.885369532428356,2.735042735042736,1.60950160950161
restricted_search,cost_tight,gemini-3.8-flash-medium,f1_mv,20.4323780794369,20.89857854563737,33.399411046469865,12.967032967032964,12.500832500832495
evidence_audit,cost_moderate,kimi-k3,evidence_acc_mv,73.75565610859728,76.47058823529412,93.66515837104072,19.90950226244344,17.194570135746602
evidence_audit,cost_moderate,glm-5.3,evidence_acc_mv,80.99547511312217,84.61538461538461,97.73755656108597,16.7420814479638,13.122171945701353
evidence_audit,cost_moderate,qwen3.8-2.4t-a95b-fp8,evidence_acc_mv,68.77828054298642,74.6606334841629,93.66515837104072,24.886877828054295,19.004524886877817
evidence_audit,cost_moderate,deepseek-v4-flash-0731,evidence_acc_mv,69.68325791855203,72.39819004524887,94.57013574660633,24.886877828054295,22.17194570135746
evidence_audit,cost_moderate,gpt-5.6-sol,evidence_acc_mv,64.70588235294117,65.15837104072398,67.42081447963801,2.714932126696837,2.2624434389140333
evidence_audit,cost_moderate,gemini-3.8-flash-medium,evidence_acc_mv,80.54298642533936,87.33031674208145,97.73755656108597,17.194570135746602,10.407239819004516
evidence_audit,cost_tight,kimi-k3,evidence_acc_mv,55.203619909502265,54.75113122171946,62.89592760180995,7.692307692307686,8.14479638009049
evidence_audit,cost_tight,glm-5.3,evidence_acc_mv,66.06334841628959,65.61085972850678,81.90045248868778,15.83710407239819,16.289592760180994
evidence_audit,cost_tight,qwen3.8-2.4t-a95b-fp8,evidence_acc_mv,56.10859728506787,60.18099547511312,63.80090497737556,7.692307692307686,3.6199095022624377
evidence_audit,cost_tight,deepseek-v4-flash-0731,evidence_acc_mv,61.990950226244344,61.990950226244344,71.49321266968326,9.502262443438916,9.502262443438916
evidence_audit,cost_tight,gpt-5.6-sol,evidence_acc_mv,51.58371040723983,58.82352941176471,62.44343891402715,10.85972850678732,3.6199095022624377
evidence_audit,cost_tight,gemini-3.8-flash-medium,evidence_acc_mv,68.77828054298642,71.49321266968326,73.7556561085973,4.9773755656108705,2.2624434389140333
tuning,cost_moderate,kimi-k3,gap0_mi,98.03886592767417,97.9611398348133,98.5563281837845,0.5174622561103348,0.595188348971206
tuning,cost_moderate,glm-5.3,gap0_mi,97.87332960162215,98.06133287597413,98.96582781948116,1.092498217859017,0.9044949435070322
tuning,cost_moderate,qwen3.8-2.4t-a95b-fp8,gap0_mi,96.92295141673006,97.72333308119076,98.86948406116441,1.946532644434356,1.1461509799736547
tuning,cost_moderate,deepseek-v4-flash-0731,gap0_mi,96.72433990160577,96.26514512867054,98.73849270264257,2.0141528010368006,2.4733475739720348
tuning,cost_moderate,gpt-5.6-sol,gap0_mi,98.10591772776527,98.21139961323344,97.96701760786793,-0.1389001198973432,-0.2443820053655088
tuning,cost_moderate,gemini-3.8-flash-medium,gap0_mi,98.82487901510568,98.82435831031965,98.84083475590657,0.015955740800890794,0.01647644558691752
tuning,cost_tight,kimi-k3,gap0_mi,93.64915826734827,92.95336655015971,95.52366392604269,1.8745056586944173,2.570297375882973
tuning,cost_tight,glm-5.3,gap0_mi,85.92950088398068,86.57074750139166,94.33103637151207,8.40153548753139,7.760288870120405
tuning,cost_tight,qwen3.8-2.4t-a95b-fp8,gap0_mi,90.62109028315723,90.7576025727036,96.27067313679852,5.6495828536412915,5.513070564094917
tuning,cost_tight,deepseek-v4-flash-0731,gap0_mi,83.20315718707613,82.9839402286484,95.29212559185709,12.088968404780957,12.308185363208693
tuning,cost_tight,gpt-5.6-sol,gap0_mi,96.64101526358955,96.04946232773469,97.27071155025706,0.6296962866675102,1.2212492225223741
tuning,cost_tight,gemini-3.8-flash-medium,gap0_mi,95.93106912372679,96.04525993998818,97.57123446933822,1.640165345611436,1.5259745293500373
