model,family,regime,n,score_complete_n,delivered_total,repeated_delivered_total,natural_stop_budget_fraction_mean,natural_stop_budget_fraction_median,natural_n,budget_n,cap_n,other_n,delivered_evaluations_mean,delivered_evaluations_median,unique_delivered_configs_mean,unique_delivered_configs_median,repeated_delivered_evaluations_mean,repeated_delivered_evaluations_median,withheld_evaluations_mean,withheld_evaluations_median,delivered_budget_fraction_mean,delivered_budget_fraction_median,first_best_fraction_mean,first_best_fraction_median,observations_after_first_best_mean,observations_after_first_best_median,strict_record_improvements_mean,strict_record_improvements_median,best_performance_gain_after_first3_mean,best_performance_gain_after_first3_median,best_performance_gain_after_first5_mean,best_performance_gain_after_first5_median,final_below_observed_best_n,final_below_observed_best_denom,final_above_observed_best_n,final_above_observed_best_denom,observed_best_reached_by_first3_n,observed_best_reached_by_first3_denom,observed_best_reached_by_first5_n,observed_best_reached_by_first5_denom,observed_best_reached_in_first_half_n,observed_best_reached_in_first_half_denom,score_source_counts
gpt-5.6-sol,nasbench101,cost_tight,9,9,35,0,0.9539048077353458,0.9764874639353032,5,4,0,0,3.888888888888889,4,3.888888888888889,4,0,0,0.4444444444444444,0,0.8521638173527868,0.9077102758521924,0.7407407407407407,1.0,1.3333333333333333,0,1.3333333333333333,1,0.0005304769233420961,0.0,7.048359623661337e-05,0.0,0,9,0,9,7,9,8,9,6,9,"{""matching_tool_call"": 9}"
gpt-5.6-sol,nasbench201,cost_free,9,9,168,0,,,9,0,0,0,18.666666666666668,18,18.666666666666668,18,0,0,0,0,,,0.5897975615366919,0.625,7.777777777777778,6,2.2222222222222223,2,0.005883209886791129,0.0026933332845051616,0.005709876549840898,0.002466666666666617,0,9,0,9,0,9,0,9,4,9,"{""matching_tool_call"": 9}"
gpt-5.6-sol,nasbench201,cost_moderate,9,9,98,0,0.9404383920752614,0.9426093342177103,9,0,0,0,10.88888888888889,11,10.88888888888889,11,0,0,0,0,0.9404383920752614,0.9426093342177103,0.7572390572390573,0.8333333333333334,2.6666666666666665,2,1.6666666666666667,1,0.0055483950431917985,0.0026933332845051616,0.0055483950431917985,0.0026933332845051616,0,9,0,9,1,9,1,9,2,9,"{""matching_tool_call"": 9}"
gpt-5.6-sol,nasbench201,cost_tight,9,9,26,0,0.9383112044735595,0.9489301136605839,8,1,0,0,2.888888888888889,3,2.888888888888889,3,0,0,0.1111111111111111,0,0.9080759882762016,0.9460355980704533,0.6296296296296297,0.6666666666666666,1.1111111111111112,1,0.6666666666666666,1,0.0,0.0,0.0,0.0,0,9,0,9,9,9,9,9,6,9,"{""matching_tool_call"": 9}"
gpt-5.6-sol,paramnet,cost_free,9,9,250,0,,,4,0,5,0,27.77777777777778,30,27.77777777777778,30,0,0,0,0,,,0.7965897986429388,0.8666666666666667,5.555555555555555,4,7.555555555555555,7,0.008462327784731253,0.00685424251578115,0.005495473341588742,0.005613468341886807,0,9,0,9,0,9,0,9,1,9,"{""best_evaluated_fallback"": 5, ""matching_tool_call"": 4}"
gpt-5.6-sol,paramnet,cost_moderate,9,9,137,0,0.9735700073723138,0.9775219779965539,9,0,0,0,15.222222222222221,18,15.222222222222221,18,0,0,0,0,0.9735700073723138,0.9775219779965539,0.6870840606774111,0.6666666666666666,4.444444444444445,4,3.5555555555555554,3,0.011286993133552648,0.0030073819620142217,0.0025845067726105115,0.0029624594317363417,0,9,0,9,2,9,3,9,2,9,"{""best_evaluated_fallback"": 3, ""matching_tool_call"": 6}"
gpt-5.6-sol,paramnet,cost_tight,9,9,35,0,0.9695288802869022,0.9764144039349711,6,3,0,0,3.888888888888889,5,3.888888888888889,5,0,0,0.3333333333333333,0,0.831357332644387,0.9671556257737599,0.755026455026455,0.8,1.3333333333333333,1,1.4444444444444444,1,0.008126413203670123,0.0,0.0,0.0,0,9,0,9,6,9,9,9,6,9,"{""best_evaluated_fallback"": 5, ""matching_tool_call"": 4}"
kimi-k3,nasbench101,cost_free,9,9,225,4,,,5,0,4,0,25,29,24.555555555555557,28,0.4444444444444444,0,0,0,,,0.7336782757472413,0.7666666666666667,6.222222222222222,6,4.888888888888889,5,0.012163906185715303,0.011384904384613037,0.007441536143974038,0.006176551183064816,0,9,0,9,0,9,0,9,1,9,"{""matching_tool_call"": 9}"
kimi-k3,nasbench101,cost_moderate,9,9,86,0,0.8448226048417895,0.9341305945609449,7,2,0,0,9.555555555555555,10,9.555555555555555,10,0,0,0.2222222222222222,0,0.853404133543213,0.9118371801990034,0.7487313612313612,0.8181818181818182,2,2,3.888888888888889,4,0.011577778392367906,0.005174954732259152,0.0029936741899560834,0.0023370782534281043,0,9,0,9,1,9,3,9,1,9,"{""matching_tool_call"": 9}"
kimi-k3,nasbench101,cost_tight,9,9,30,0,0.8874887173522925,0.8875218240243694,5,4,0,0,3.3333333333333335,3,3.3333333333333335,3,0,0,0.4444444444444444,0,0.8785223066400737,0.8875218240243694,0.7703703703703704,0.8,1,1,1.1111111111111112,1,0.001264987168488675,0.0,0.0,0.0,0,9,0,9,6,9,9,9,6,9,"{""matching_tool_call"": 9}"
