table,record,model,system,scenario,regime,strategy,slice_kind,slice,metric,field,historical,new,changed,delta,historical_identity,new_identity
absolute_settings.csv,2393,glm-5.3,expgym,restricted_search,cost_moderate,single,family,whatis,f1,known_subset_mean,0.40649122119710357,0.41909626321391025,True,0.012605042016806678,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,3223,kimi-k3,expgym,evidence_audit,cost_free,single,all,all,evidence_acc,full_mean,0.894419306184012,0.9200603318250377,True,0.02564102564102566,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,3223,kimi-k3,expgym,evidence_audit,cost_free,single,all,all,evidence_acc,known_subset_mean,0.894419306184012,0.9200603318250377,True,0.02564102564102566,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,3224,kimi-k3,expgym,evidence_audit,cost_free,single,all,all,label_acc,full_mean,0.9260935143288085,0.9502262443438914,True,0.02413273001508287,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,3224,kimi-k3,expgym,evidence_audit,cost_free,single,all,all,label_acc,known_subset_mean,0.9260935143288085,0.9502262443438914,True,0.02413273001508287,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,3225,kimi-k3,expgym,evidence_audit,cost_moderate,single,all,all,evidence_acc,full_mean,0.6877828054298643,0.7194570135746606,True,0.03167420814479638,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,3225,kimi-k3,expgym,evidence_audit,cost_moderate,single,all,all,evidence_acc,known_subset_mean,0.6877828054298643,0.7194570135746606,True,0.03167420814479638,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,3226,kimi-k3,expgym,evidence_audit,cost_moderate,single,all,all,label_acc,full_mean,0.8536953242835595,0.8959276018099547,True,0.042232277526395134,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,3226,kimi-k3,expgym,evidence_audit,cost_moderate,single,all,all,label_acc,known_subset_mean,0.8536953242835595,0.8959276018099547,True,0.042232277526395134,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,3227,kimi-k3,expgym,evidence_audit,cost_tight,single,all,all,evidence_acc,full_mean,0.5158371040723982,0.526395173453997,True,0.010558069381598756,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,3227,kimi-k3,expgym,evidence_audit,cost_tight,single,all,all,evidence_acc,known_subset_mean,0.5158371040723982,0.526395173453997,True,0.010558069381598756,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,3228,kimi-k3,expgym,evidence_audit,cost_tight,single,all,all,label_acc,full_mean,0.7948717948717948,0.8144796380090498,True,0.019607843137254943,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,3228,kimi-k3,expgym,evidence_audit,cost_tight,single,all,all,label_acc,known_subset_mean,0.7948717948717948,0.8144796380090498,True,0.019607843137254943,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,3229,kimi-k3,expgym,evidence_audit,cost_free,single,family,evidence_audit,evidence_acc,full_mean,0.894419306184012,0.9200603318250377,True,0.02564102564102566,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,3229,kimi-k3,expgym,evidence_audit,cost_free,single,family,evidence_audit,evidence_acc,known_subset_mean,0.894419306184012,0.9200603318250377,True,0.02564102564102566,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,3230,kimi-k3,expgym,evidence_audit,cost_free,single,family,evidence_audit,label_acc,full_mean,0.9260935143288085,0.9502262443438914,True,0.02413273001508287,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,3230,kimi-k3,expgym,evidence_audit,cost_free,single,family,evidence_audit,label_acc,known_subset_mean,0.9260935143288085,0.9502262443438914,True,0.02413273001508287,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,3231,kimi-k3,expgym,evidence_audit,cost_moderate,single,family,evidence_audit,evidence_acc,full_mean,0.6877828054298643,0.7194570135746606,True,0.03167420814479638,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,3231,kimi-k3,expgym,evidence_audit,cost_moderate,single,family,evidence_audit,evidence_acc,known_subset_mean,0.6877828054298643,0.7194570135746606,True,0.03167420814479638,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,3232,kimi-k3,expgym,evidence_audit,cost_moderate,single,family,evidence_audit,label_acc,full_mean,0.8536953242835595,0.8959276018099547,True,0.042232277526395134,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,3232,kimi-k3,expgym,evidence_audit,cost_moderate,single,family,evidence_audit,label_acc,known_subset_mean,0.8536953242835595,0.8959276018099547,True,0.042232277526395134,published-297c3d0-historical-scoring,official-n4-rollback-20260919
