task,model,regime,gap0,repeats,slot_ids
hpobench:nasbench101:B,kimi-k3,cost_tight,95.75963768286513,3,4d9fb74089b13b3994002bec;a6bd73622be4fcce8a7d636f;95c81199fe6ecd3e3fe54371
hpobench:nasbench101:B,glm-5.3,cost_tight,89.99519151983051,3,06a8944315b48820e8accf91;dfde9d9a5a83a52c58cd906b;8d21839f6e37e5091d9fd510
hpobench:nasbench101:B,qwen3.8-2.4t-a95b-fp8,cost_tight,93.27044773845311,3,d40155d872ca3f715a2f3712;5681ef686b7b0da62a1b1b5f;455593377b8b24ce59f85c10
hpobench:nasbench101:B,deepseek-v4-flash-0731,cost_tight,85.178387704919,3,6a0f02f345774620ac0b5044;72e4e941b76489f47e90e04f;166e4efea6042fb189f92738
hpobench:nasbench101:B,gpt-5.6-sol,cost_tight,95.4626811606237,3,e5e311eb5fbf7231e978068b;d41ee6b539980fb0080a6bc8;fe23bdb5bd6c15a9406fd8f5
hpobench:nasbench101:B,gemini-3.8-flash-medium,cost_tight,96.87758538132299,3,cde1f2c02fdac5dabeb44731;d7408fd1b73d168c8fea1aa6;24c7610871c2dd75c0ff6f6d
hpobench:nasbench101:C,kimi-k3,cost_free,99.3639943591853,3,f9cbfa800b53d8f0edc02892;cbe08160e80074b669f18dba;3a13150944d86ea75ba41b6b
hpobench:nasbench101:C,glm-5.3,cost_free,99.62391238594967,3,024b1b6087bb7011f8c16c55;0330820eea3d19106c50a86e;bc1e3b1b2d5a5e71dd8c080f
hpobench:nasbench101:C,qwen3.8-2.4t-a95b-fp8,cost_free,99.29113936534323,3,a0e93c76d58ba514fa31822f;8a29dd46cfdcc666cb055c34;2430ec607c77955c605ce64e
hpobench:nasbench101:C,deepseek-v4-flash-0731,cost_free,60.41096368564639,3,4d123c2f2285b5bc16f147c3;d9b88d5ed17473eb7a1a27ca;0989a01e765f7b750113e2cf
hpobench:nasbench101:C,gpt-5.6-sol,cost_free,99.3344598176527,3,3cc5abc2bf0ecb9aec397c23;bc6be8a78473cc40b7aee6c8;b01dd4e53ccf6c6b08e18704
hpobench:nasbench101:C,gemini-3.8-flash-medium,cost_free,100.12602068392012,3,5850ac4811d22f872b580030;27aff4f2675c1b10c6eb2e44;b50ff6f062896ae4695dd367
hpobench:nasbench101:C,kimi-k3,cost_moderate,98.90717274882253,3,9bf51c2101cf6578f55f9264;f82657d52becd46c3f7cad0d;9062b4130dcff301260292f7
hpobench:nasbench101:C,glm-5.3,cost_moderate,96.73923897138721,3,6a67bb05f844b73833676007;ddafe40b9f41be6c49873b9c;039b1776b0978d5a97a3d3aa
hpobench:nasbench101:C,qwen3.8-2.4t-a95b-fp8,cost_moderate,98.69254609675835,3,0ca76df9035ef0aa3984b5ef;54f490b60bcb73ea00e80793;bcbe95d42faf231b2caa3b94
hpobench:nasbench101:C,deepseek-v4-flash-0731,cost_moderate,93.82502984351905,3,ea0573e949fb33226debb15e;b50841f7974d062de62c358a;9f725abddcb7ccfd4ecd5857
hpobench:nasbench101:C,gpt-5.6-sol,cost_moderate,98.99774846758419,3,b1fde5fbf80b4be0c2acfd43;ff1879dc0c8c4c619bfe39c7;1984dce6abde91fee22719af
hpobench:nasbench101:C,gemini-3.8-flash-medium,cost_moderate,99.69873595863622,3,888338708421a8a16ae6560b;aa8177f57241f1e21967d2ec;54578bbec3e0034a97dfe5de
hpobench:nasbench101:C,kimi-k3,cost_tight,98.62756659006727,3,cc3d83f8a7eb08699ba754ab;fb9ad9a88c203e72f8f42bb4;114afffb7ad7dbc393de87e4
hpobench:nasbench101:C,glm-5.3,cost_tight,96.53248663470089,3,526e527b2d1ca96d030f989c;eb0334431c6bc430ab8822ed;bace721caa18a7adb02a8c59
hpobench:nasbench101:C,qwen3.8-2.4t-a95b-fp8,cost_tight,98.49957615552954,3,7efdd971bdae908decb44eca;51e47d3df8d0b949e0fab09f;6f1c319c59af390fdba32295
hpobench:nasbench101:C,deepseek-v4-flash-0731,cost_tight,85.29309312606287,3,f11456ff6d9f288724b4f1b0;e23544862f77cc8f93c0b71c;4c72d6358a5610ebfdd98d76
hpobench:nasbench101:C,gpt-5.6-sol,cost_tight,99.01547153604999,3,55924e3c91421fcab6e889f8;89f359260d4239bdbea55847;0838ad42565eaf7010ac9f4a
hpobench:nasbench101:C,gemini-3.8-flash-medium,cost_tight,98.6905775179139,3,7e36024bd6da25cf033071ea;4bcad20aa421f7f29efc76d7;41e1e3332e19c0c470075284
hpobench:nasbench201:cifar10-valid,kimi-k3,cost_free,100.0,3,59d59b2ef8df77b8e9da4de2;4b21ba8bb4b18983f85a2009;a67ec80efcd10d21ddacbe0e
hpobench:nasbench201:cifar10-valid,glm-5.3,cost_free,99.39140096130323,3,1e88773dcba0f28e976e03d9;f78197959c06456283212929;4ea8095983a467af5b29c61e
hpobench:nasbench201:cifar10-valid,qwen3.8-2.4t-a95b-fp8,cost_free,99.30206543083482,3,5aa9bc1465b0631d925d5ac3;6428d242925f3cdbbed05000;9e34d2947945d5baff6498ea
hpobench:nasbench201:cifar10-valid,deepseek-v4-flash-0731,cost_free,60.77051492177475,3,520fdbebbf06e42089863ca3;20242745173e7a37a6f9aa39;9c5e675b1d5b7ad74054651c
hpobench:nasbench201:cifar10-valid,gpt-5.6-sol,cost_free,99.77666094550074,3,3876001beb6dc6ac5f84e7a2;dda212127d8bc032691bb440;a6deacf1d0147872b2fd1437
hpobench:nasbench201:cifar10-valid,gemini-3.8-flash-medium,cost_free,100.0,3,844b39d0eeaa862ab08f4ab6;2c5c6e5fd2be3808b9206c57;cc1194762f4de9fea8c43a51
hpobench:nasbench201:cifar10-valid,kimi-k3,cost_moderate,93.65717014610956,3,569260950df6949bd6b0c5c7;ac6015f469b45c58cfd49a87;e83a0fcc33c79ca2711248f0
hpobench:nasbench201:cifar10-valid,glm-5.3,cost_moderate,93.88050920060883,3,109013a1baba5446ff2d0181;4d6bd1c49ae2cb11c173be9d;6a8ebaac4d1e3bffad02943d
hpobench:nasbench201:cifar10-valid,qwen3.8-2.4t-a95b-fp8,cost_moderate,93.21607545281341,3,c3c4eeedd13e57514392f655;c252088cb53d6bea37c7ec5a;87170db57c4486dcc2340ef4
hpobench:nasbench201:cifar10-valid,deepseek-v4-flash-0731,cost_moderate,86.13064311457705,3,4e409c4a399d3bee4e0027a9;c9b10b467298144330254c57;f8da720ba419fd9f2cab42a6
hpobench:nasbench201:cifar10-valid,gpt-5.6-sol,cost_moderate,98.8553873218363,3,eaa7d7dd6515df22da97f949;c4f4a93ef0ed6c90101ad70f;c358a697cd98d482c4f76f8a
hpobench:nasbench201:cifar10-valid,gemini-3.8-flash-medium,cost_moderate,99.55332189100149,3,3e64692b6983b40d09afb073;56f127134ea3ca9723261b61;b99bafecf417db0063577bd5
hpobench:nasbench201:cifar10-valid,kimi-k3,cost_tight,90.20658129539613,3,94d5da78db3e4dd95d2e29f6;5cab012f5f67b2a43e49c428;b40cfb0c17ef7558aa79a407
hpobench:nasbench201:cifar10-valid,glm-5.3,cost_tight,93.65717014610956,3,5294e0114d601283ef18215e;b3465703a2aa0c4436e1075f;1380afede73373b529ed1a8a
hpobench:nasbench201:cifar10-valid,qwen3.8-2.4t-a95b-fp8,cost_tight,96.46007564267308,3,f0f9ad71f2c76fb320b62ec0;fbe91222f2a5ae07beb9de9a;32883bd4760eeee73c0bb770
hpobench:nasbench201:cifar10-valid,deepseek-v4-flash-0731,cost_tight,82.31154476532424,3,919c5d2fb79817cfec11954b;cb096f6e6707bffee0aed337;78744731fc174ba80b99f0da
hpobench:nasbench201:cifar10-valid,gpt-5.6-sol,cost_tight,97.65493971987759,3,1ebab1b0d61379090b9ead9f;f51a35ad23d78d74b07dfac2;4e82028cdf31b96aa22f24fb
hpobench:nasbench201:cifar10-valid,gemini-3.8-flash-medium,cost_tight,95.6672219058249,3,cbbf83c2a1a8aa0931a487e2;c69c2b5a64ad959164e58703;2a5009cc570165ccbba5310f
hpobench:nasbench201:cifar100,kimi-k3,cost_free,100.0,3,59fa9b6bbd4deb66d476b5cd;1f0280f087b403dca424b474;137f2bf6d7abdbc606a44b17
hpobench:nasbench201:cifar100,glm-5.3,cost_free,99.17186308023172,3,fb82a51ba06e4c4d19f6e40f;f91d13e86fc05b0ff6f730c1;e582018738508878f194e2af
hpobench:nasbench201:cifar100,qwen3.8-2.4t-a95b-fp8,cost_free,97.65209532637124,3,459c2259ea279b0d8cfc7480;faf9170411ff34c61d5d6247;b149ac52dc557bf60d1d605b
hpobench:nasbench201:cifar100,deepseek-v4-flash-0731,cost_free,94.24854359018077,3,896a82a095ffd9bbe05b92cf;2fac101987e464d8baf25ae1;7ce05a0752d831ba5fbb2374
hpobench:nasbench201:cifar100,gpt-5.6-sol,cost_free,98.30732453761647,3,e042e8e24bd76486b96886cd;05b532c500d825441d911f52;adcbaac26e8a4645d8564c41
hpobench:nasbench201:cifar100,gemini-3.8-flash-medium,cost_free,100.0,3,f34289e9490c9185161406e5;e9774de36a06ced5c37732ba;9a510611025f5d7d84a78ebc
hpobench:nasbench201:cifar100,kimi-k3,cost_moderate,100.0,3,5073c559d1f5fcbe2797c95e;2701544785d5d8ab8ddaed4e;7ff7ab7801a71991d6e612bc
hpobench:nasbench201:cifar100,glm-5.3,cost_moderate,99.17186308023172,3,39305addf7f8fa9b83b9f3e8;2a031d1f44b3ae5a4c807561;1f65fac1913d05627b8063b2
hpobench:nasbench201:cifar100,qwen3.8-2.4t-a95b-fp8,cost_moderate,100.0,3,95d58e165dd477a634954a6a;66298709af624013ffa67bf9;b03fc3950b208b44cb3cd9f9
hpobench:nasbench201:cifar100,deepseek-v4-flash-0731,cost_moderate,87.91466121481024,3,4cd74678c6a45596ac7f0e50;504d5a8dbcb7f9c87f7da2c5;e2a3441c8df7fb59e5b85bdc
hpobench:nasbench201:cifar100,gpt-5.6-sol,cost_moderate,94.24854359018069,3,e09c2364911766f207e04333;dfdeb94408d6c8af9b38c5c7;fc41f7f5228a7183ad9b3ecc
hpobench:nasbench201:cifar100,gemini-3.8-flash-medium,cost_moderate,100.0,3,ac58cb716359fc449881f59f;730606526d00acdf51e0da1a;fadb44574249f4edbc649c2d
hpobench:nasbench201:cifar100,kimi-k3,cost_tight,97.47918761784821,3,2c6bbe838c80cb34a1af81e8;f96a816edeff8fa460b2619b;ec1b678fc06c0a390ff4e250
hpobench:nasbench201:cifar100,glm-5.3,cost_tight,90.98149793966635,3,bb016c4a8780ed6da933e6b1;bdeefdcdc7f58d7610634c73;ba96ea741087b1911eb6325d
hpobench:nasbench201:cifar100,qwen3.8-2.4t-a95b-fp8,cost_tight,90.0805577742042,3,86c96025f9edbb8eed6ed58c;7aa943e86ba052579b636714;7ab892dc47698cfec7f833d1
hpobench:nasbench201:cifar100,deepseek-v4-flash-0731,cost_tight,90.99059834537809,3,7942362bb20dd64582748d41;3407f9374da60cf7fe9f913c;23fe847ce436008f50b587ec
hpobench:nasbench201:cifar100,gpt-5.6-sol,cost_tight,95.26778902989552,3,68cfb192c1098cbf2bf7014a;5512ac74d7e87f79f492e689;c682e09103e4c13154ff76d8
hpobench:nasbench201:cifar100,gemini-3.8-flash-medium,cost_tight,98.58033670896867,3,0925534532945f5a2a0454d4;072eecb297aa36fe1630124f;bbc412c1e5f1c3ad94a8d49b
hpobench:nasbench201:imagenet16-120,kimi-k3,cost_free,99.31250369009454,3,47c113bf62632569ca93b338;6d076839de3739053582aff3;2cd9ba6b319eacbff40485e5
hpobench:nasbench201:imagenet16-120,glm-5.3,cost_free,97.34822839170597,3,5727ff682fb1676da6957dff;c7fdd1d76fc730905d95a427;2722fec7556589ba9ef39778
hpobench:nasbench201:imagenet16-120,qwen3.8-2.4t-a95b-fp8,cost_free,98.40051873746863,3,f4fc4d9ce6e089ae65e279a2;025258abb3db1702b1ec9305;7dc49641f6ae2159d107ee99
hpobench:nasbench201:imagenet16-120,deepseek-v4-flash-0731,cost_free,89.84189174287505,3,c7101783dbe65990d5daea05;a96c8ea7425559bea04129c4;bd92b8b1099df1c84f42fcb5
hpobench:nasbench201:imagenet16-120,gpt-5.6-sol,cost_free,96.60461023797212,3,24cab0cf19f43fd3ac3ad626;cb2247a729990e314aa3d736;65357e601970e52ee9282eb1
hpobench:nasbench201:imagenet16-120,gemini-3.8-flash-medium,cost_free,97.46047285008315,3,0662569d1a6ba668acea0867;c71745d0d87583b63e93ffa4;5a00927c34ee6f193d120067
hpobench:nasbench201:imagenet16-120,kimi-k3,cost_moderate,97.57271709437138,3,53c4d7964a5210d3212efc08;ef5648c0e4cd18b15445cd85;220260c44c75b8ec2461dfb5
hpobench:nasbench201:imagenet16-120,glm-5.3,cost_moderate,96.40818253857485,3,2fc9b2ecf29c580452c7127f;7cc4e9651684bd21d0ba72ca;3af6369fc148274abde91e82
hpobench:nasbench201:imagenet16-120,qwen3.8-2.4t-a95b-fp8,cost_moderate,88.5931741258931,3,c5730b03df1e34970c89c26e;59a6b2d96cb1238b8378de8d;dfd30299315e98bbf71ab31e
hpobench:nasbench201:imagenet16-120,deepseek-v4-flash-0731,cost_moderate,63.986834149303846,3,cabe94567e69debc5fc647d9;60a0ff5f41e4d4afd5a1fa19;31e9eace887d5579b9019586
hpobench:nasbench201:imagenet16-120,gpt-5.6-sol,cost_moderate,95.60844207001678,3,39abe8b38bcac861a014cb14;a92d9d6b29d475d741b028a5;14d0a0d654ea6bf9d7847ff4
