scenario,regime,n_models,metric,naive,cached,poolact,poolact_minus_naive,poolact_minus_cached
restricted_search,cost_moderate,6,f1_mv,62.60341691714241,64.12254593627142,64.32336363708913,1.7199467199467193,0.20081770081770856
restricted_search,cost_tight,6,f1_mv,17.098206804089155,18.057432763315116,24.146256793315615,7.04804998922646,6.088824030000499
evidence_audit,cost_moderate,6,evidence_acc_mv,72.92609351432881,76.92307692307692,91.17647058823529,18.250377073906478,14.25339366515837
evidence_audit,cost_tight,6,evidence_acc_mv,59.80392156862745,62.217194570135746,69.6078431372549,9.803921568627452,7.3906485671191575
tuning,cost_moderate,6,gap0_mi,97.74838059841719,97.8411181407003,98.65633085514119,0.907950256724007,0.8152127144408894
tuning,cost_tight,6,gap0_mi,90.9958318348131,90.89339652010437,96.04324084096761,5.04740900615451,5.149844320863238
