scenario,regime,model,metric,naive,cached,poolact,poolact_minus_naive,poolact_minus_cached
restricted_search,cost_moderate,kimi-k3,f1_mv,64.59192223898106,64.20342185048067,66.74088438794321,2.1489621489621555,2.5374625374625452
restricted_search,cost_moderate,glm-5.3,f1_mv,62.0278196748785,65.67250831956714,65.74188338894221,3.7140637140637125,0.0693750693750701
restricted_search,cost_moderate,qwen3.8-2.4t-a95b-fp8,f1_mv,61.21381886087769,61.17311882017764,63.48488113193995,2.271062271062263,2.3117623117623083
restricted_search,cost_moderate,deepseek-v4-flash-0731,f1_mv,60.27179791885674,61.79989944695827,61.325928972987796,1.0541310541310551,-0.47397047397047487
restricted_search,cost_moderate,gpt-5.6-sol,f1_mv,62.31271995977878,63.77792142498024,60.60331825037707,-1.7094017094017104,-3.1746031746031704
restricted_search,cost_moderate,gemini-3.8-flash-medium,f1_mv,65.20242284948168,68.10840575546457,68.04328569034452,2.8408628408628402,-0.06512006512005541
restricted_search,cost_tight,kimi-k3,f1_mv,21.287078934137757,18.722976370035195,30.4323780794369,9.145299145299145,11.709401709401707
restricted_search,cost_tight,glm-5.3,f1_mv,20.85972850678733,20.85972850678733,30.005027652086476,9.145299145299145,9.145299145299145
restricted_search,cost_tight,qwen3.8-2.4t-a95b-fp8,f1_mv,18.295625942684765,23.313940960999783,21.714429361488186,3.418803418803421,-1.5995115995115974
restricted_search,cost_tight,deepseek-v4-flash-0731,f1_mv,2.564102564102564,4.273504273504273,7.440925087983912,4.876822523881348,3.1674208144796383
restricted_search,cost_tight,gpt-5.6-sol,f1_mv,19.15032679738562,20.275867922926746,21.885369532428356,2.735042735042736,1.60950160950161
restricted_search,cost_tight,gemini-3.8-flash-medium,f1_mv,20.4323780794369,20.89857854563737,33.399411046469865,12.967032967032964,12.500832500832495
evidence_audit,cost_moderate,kimi-k3,evidence_acc_mv,71.94570135746606,77.37556561085974,95.47511312217195,23.529411764705884,18.09954751131221
evidence_audit,cost_moderate,glm-5.3,evidence_acc_mv,81.44796380090497,83.2579185520362,98.19004524886877,16.7420814479638,14.932126696832569
evidence_audit,cost_moderate,qwen3.8-2.4t-a95b-fp8,evidence_acc_mv,71.49321266968326,74.2081447963801,94.57013574660633,23.076923076923066,20.36199095022623
evidence_audit,cost_moderate,deepseek-v4-flash-0731,evidence_acc_mv,69.68325791855203,72.39819004524887,95.02262443438913,25.3393665158371,22.624434389140262
evidence_audit,cost_moderate,gpt-5.6-sol,evidence_acc_mv,64.70588235294117,65.15837104072398,67.42081447963801,2.714932126696837,2.2624434389140333
evidence_audit,cost_moderate,gemini-3.8-flash-medium,evidence_acc_mv,80.99547511312217,88.68778280542986,97.73755656108597,16.7420814479638,9.049773755656105
evidence_audit,cost_tight,kimi-k3,evidence_acc_mv,54.75113122171946,54.75113122171946,62.89592760180995,8.14479638009049,8.14479638009049
evidence_audit,cost_tight,glm-5.3,evidence_acc_mv,66.06334841628959,65.61085972850678,82.80542986425338,16.7420814479638,17.194570135746602
evidence_audit,cost_tight,qwen3.8-2.4t-a95b-fp8,evidence_acc_mv,55.65610859728507,60.18099547511312,63.80090497737556,8.14479638009049,3.6199095022624377
evidence_audit,cost_tight,deepseek-v4-flash-0731,evidence_acc_mv,61.990950226244344,62.44343891402715,71.49321266968326,9.502262443438916,9.049773755656112
evidence_audit,cost_tight,gpt-5.6-sol,evidence_acc_mv,51.58371040723983,58.82352941176471,62.44343891402715,10.85972850678732,3.6199095022624377
evidence_audit,cost_tight,gemini-3.8-flash-medium,evidence_acc_mv,68.77828054298642,71.49321266968326,73.7556561085973,4.9773755656108705,2.2624434389140333
tuning,cost_moderate,kimi-k3,gap0_mi,98.03886592767417,97.9611398348133,98.54116699192979,0.5023010642556187,0.5800271571164899
tuning,cost_moderate,glm-5.3,gap0_mi,97.87332960162215,98.06133287597413,99.04804854215426,1.1747189405321166,0.9867156661801317
tuning,cost_moderate,qwen3.8-2.4t-a95b-fp8,gap0_mi,96.92295141673006,97.69459222844006,98.9513059545019,2.028354537771847,1.2567137260618466
tuning,cost_moderate,deepseek-v4-flash-0731,gap0_mi,96.72433990160577,96.26514512867054,98.73849270264257,2.0141528010368006,2.4733475739720348
tuning,cost_moderate,gpt-5.6-sol,gap0_mi,98.10591772776527,98.21139961323344,97.96701760786793,-0.1389001198973432,-0.2443820053655088
tuning,cost_moderate,gemini-3.8-flash-medium,gap0_mi,98.97974961833091,98.74402250594531,98.7889670223086,-0.1907825960223164,0.044944516363287335
tuning,cost_tight,kimi-k3,gap0_mi,93.64915826734827,92.95336655015971,95.52366392604269,1.8745056586944173,2.570297375882973
tuning,cost_tight,glm-5.3,gap0_mi,85.92950088398068,86.57074750139166,94.3886312663424,8.459130382361721,7.817883764950736
tuning,cost_tight,qwen3.8-2.4t-a95b-fp8,gap0_mi,90.62109028315723,90.7576025727036,96.25156677789765,5.630476494740421,5.493964205194047
tuning,cost_tight,deepseek-v4-flash-0731,gap0_mi,83.20315718707613,82.9839402286484,94.38524390568193,11.182086718605802,11.401303677033539
tuning,cost_tight,gpt-5.6-sol,gap0_mi,96.64101526358955,96.04946232773469,94.3652034424256,-2.2758118211639555,-1.6842588853090916
tuning,cost_tight,gemini-3.8-flash-medium,gap0_mi,95.60377810234813,95.4876262228631,95.06935970455797,-0.5344183977901622,-0.4182665183051313
