scope,study_id,model,system,scenario,budget,strategy,N,planned_jobs,started_jobs,execution_complete_jobs,score_complete_jobs,failed_jobs,incomplete_started_jobs,unstarted_jobs,unowned_output_jobs,planned_agent_slots,started_invocation_agent_slots,physical_attempts,failed_api_attempts,pending_api_attempts,retry_attempts,attempt_number_unknown,ambiguous_terminal_agent_slots,unattributed_terminal_rows,raw_input_tokens_known_sum,raw_input_tokens_complete_sum,raw_input_tokens_unknown_attempts,total_input_tokens_known_sum,total_input_tokens_complete_sum,total_input_tokens_unknown_attempts,output_tokens_known_sum,output_tokens_complete_sum,output_tokens_unknown_attempts,total_tokens_known_sum,total_tokens_complete_sum,total_tokens_unknown_attempts,cache_read_tokens_known_sum,cache_read_tokens_complete_sum,cache_read_tokens_unknown_attempts,cache_creation_tokens_known_sum,cache_creation_tokens_complete_sum,cache_creation_tokens_unknown_attempts,reasoning_tokens_included_in_output_known_sum,reasoning_tokens_included_in_output_complete_sum,reasoning_tokens_included_in_output_unknown_attempts,request_wall_seconds_known_sum,request_wall_seconds_complete_sum,request_wall_seconds_unknown_attempts,simulated_feedback_seconds_known_sum,simulated_feedback_seconds_known_agents,simulated_feedback_seconds_unknown_planned_agents,agent_wall_seconds_known_sum,agent_wall_seconds_known_agents,agent_wall_seconds_unknown_planned_agents,feedback_attempts_known_sum,feedback_attempts_known_agents,feedback_attempts_unknown_planned_agents,logical_llm_calls_known_sum,logical_llm_calls_known_agents,logical_llm_calls_unknown_planned_agents,agent_steps_known_sum,agent_steps_known_agents,agent_steps_unknown_planned_agents,local_pool_cache_hits_known_sum,local_pool_cache_hits_known_pools,local_pool_cache_hits_unknown_pools,local_pool_cache_misses_known_sum,local_pool_cache_misses_known_pools,local_pool_cache_misses_unknown_pools
setting,gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,poolact,tuning,cost_moderate,naive,4,9,9,9,9,0,0,0,0,36,36,507,0,0,0,0,0,0,5098806,5098806,0,5098806,5098806,0,200164,200164,0,5298970,5298970,0,2860288,2860288,0,0,0,0,76097,76097,0,5217.966708665714,5217.966708665714,0,2969344.0255737305,36,0,5234.669627758674,36,0,471.0,36,0,507.0,36,0,505.0,36,0,0,0,9,0,0,9
setting,gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,poolact,tuning,cost_moderate,poolact,4,9,9,9,8,0,0,0,0,36,36,390,0,0,0,0,0,0,13724143,13724143,0,13724143,13724143,0,184948,184948,0,13909091,13909091,0,3661184,3661184,0,0,0,0,89969,89969,0,4706.417301430367,4706.417301430367,0,2433914.348754883,36,0,15496.072793575004,36,0,355.0,36,0,390.0,36,0,390.0,36,0,4.0,9,0,351.0,9,0
setting,gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,poolact,tuning,cost_tight,cached,4,9,9,9,9,0,0,0,0,36,36,178,0,0,0,0,0,0,1424817,1424817,0,1424817,1424817,0,88697,88697,0,1513514,1513514,0,916096,916096,0,0,0,0,44983,44983,0,2273.5147542450577,2273.5147542450577,0,921115.6451416016,36,0,2278.6437845267355,36,0,142.0,36,0,178.0,36,0,160.0,36,0,1.0,9,0,141.0,9,0
setting,gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,poolact,tuning,cost_tight,naive,4,9,9,9,9,0,0,0,0,36,36,170,0,0,0,0,0,0,1355593,1355593,0,1355593,1355593,0,89042,89042,0,1444635,1444635,0,870400,870400,0,0,0,0,48372,48372,0,2360.358655168675,2360.358655168675,0,926999.3751220703,36,0,2365.481165234931,36,0,134.0,36,0,170.0,36,0,153.0,36,0,0,0,9,0,0,9
setting,gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,poolact,tuning,cost_tight,poolact,4,9,9,9,9,0,0,0,0,36,36,150,0,0,0,0,0,0,1726362,1726362,0,1726362,1726362,0,73203,73203,0,1799565,1799565,0,774784,774784,0,0,0,0,37052,37052,0,1886.0745772467926,1886.0745772467926,0,769471.1740722656,36,0,6126.590793862939,36,0,114.0,36,0,150.0,36,0,140.0,36,0,0.0,9,0,114.0,9,0
model_total,claude_fable5_high_poolact_refmatrix_20260910_v1,claude-fable-5,all,all,all,all,,366,116,108,104,8,0,250,0,1464,464,2574,92,0,62,0,0,0,6706623,,92,9018565,,92,622157,,92,9640722,,92,1759420,,92,552522,,92,0,,2574,10096.567480050027,10096.567480050027,0,345287.3715064954,434,1030,15042.182877517305,432,1032,1619.0,434,1030,2465.0,434,1030,2193.0,434,1030,94.0,70,296,754.0,70,296
setting,claude_fable5_high_poolact_refmatrix_20260910_v1,claude-fable-5,poolact,evidence_audit,cost_moderate,cached,4,13,6,6,6,0,0,7,0,52,24,72,0,0,0,0,0,0,377595,377595,0,453555,453555,0,0,0,0,453555,453555,0,0,0,0,75960,75960,0,0,,72,82.21395627781749,82.21395627781749,0,0.0,24,28,83.81135598104447,24,28,0.0,24,28,72.0,24,28,48.0,24,28,0.0,6,7,0.0,6,7
setting,claude_fable5_high_poolact_refmatrix_20260910_v1,claude-fable-5,poolact,evidence_audit,cost_moderate,naive,4,13,5,5,5,0,0,8,0,52,20,60,0,0,0,0,0,0,310412,310412,0,373712,373712,0,0,0,0,373712,373712,0,0,0,0,63300,63300,0,0,,60,59.898132937029004,59.898132937029004,0,0.0,20,32,61.154651147313416,20,32,0.0,20,32,60.0,20,32,40.0,20,32,0,0,13,0,0,13
setting,claude_fable5_high_poolact_refmatrix_20260910_v1,claude-fable-5,poolact,evidence_audit,cost_moderate,poolact,4,13,4,4,4,0,0,9,0,52,16,48,0,0,0,0,0,0,185488,185488,0,236128,236128,0,0,0,0,236128,236128,0,0,0,0,50640,50640,0,0,,48,48.483625368215144,48.483625368215144,0,0.0,16,36,124.1103293756023,16,36,0.0,16,36,48.0,16,36,32.0,16,36,0.0,4,9,0.0,4,9
setting,claude_fable5_high_poolact_refmatrix_20260910_v1,claude-fable-5,poolact,evidence_audit,cost_tight,cached,4,13,7,7,7,0,0,6,0,52,28,84,0,0,0,0,0,0,431577,431577,0,520197,520197,0,0,0,0,520197,520197,0,0,0,0,88620,88620,0,0,,84,89.27111777383834,89.27111777383834,0,0.0,28,24,91.33282264973968,28,24,0.0,28,24,84.0,28,24,56.0,28,24,0.0,7,6,0.0,7,6
setting,claude_fable5_high_poolact_refmatrix_20260910_v1,claude-fable-5,poolact,evidence_audit,cost_tight,naive,4,13,5,5,5,0,0,8,0,52,20,60,0,0,0,0,0,0,247319,247319,0,310619,310619,0,0,0,0,310619,310619,0,0,0,0,63300,63300,0,0,,60,57.64934025704861,57.64934025704861,0,0.0,20,32,58.99183503072709,20,32,0.0,20,32,60.0,20,32,40.0,20,32,0,0,13,0,0,13
setting,claude_fable5_high_poolact_refmatrix_20260910_v1,claude-fable-5,poolact,evidence_audit,cost_tight,poolact,4,13,7,7,7,0,0,6,0,52,28,84,0,0,0,0,0,0,369247,369247,0,457867,457867,0,0,0,0,457867,457867,0,0,0,0,88620,88620,0,0,,84,83.21582630742341,83.21582630742341,0,0.0,28,24,211.8292108895257,28,24,0.0,28,24,84.0,28,24,56.0,28,24,0.0,7,6,0.0,7,6
